Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
CCL	339776	10	10m58s	0.389	0.3612
CCLL	372800	9	10m03s	0.3691	0.3565
CCM	255936	3	12m58s	0.4554	0.4369
CD	1161759	6	11m36s	0.5668	0.4552
CL	261795	10	10m01s	0.346	0.3339
CLD	1249951	7	10m34s	0.5326	0.4743
CLL	298912	10	10m29s	0.3333	0.316
CM	253983	3	12m41s	0.4398	0.4026
CMCML	303040	9	10m41s	0.3602	0.3481
CMCMLL	331840	14	10m36s	0.3646	0.3546
CML	268128	14	10m17s	0.3573	0.3117
D	4063263	14	10m19s	0.6591	0.4453
LD	38015	7	10m26s	0.1678	0.1057
LL	44928	4	10m10s	0.1037	0.0993
