Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
D	393219	all	150	4m56s	0.748	0.701
LD	37091	all	10	10m07s	0.413	0.431
CL	24663	all	150	9m29s	0.798	0.756
CCL	328688	all	150	8m29s	0.782	0.804
CCLL	361712	all	144	10m01s	0.868	0.833
CMCML	295536	all	110	6m50s	0.904	0.88
CMCMLL	320752	all	101	7m44s	0.905	0.875
CLL	287824	all	108	10m00s	0.839	0.83
CML	262416	all	138	10m04s	0.839	0.825
CLD	1246339	all	85	10m01s	0.865	0.887
CD	1059587	all	135	10m00s	0.77	0.758
CM	24579	all	94	10m02s	0.798	0.797
CCM	24600	all	94	10m01s	0.79	0.767
Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
D	393219	all	282	10m01s	0.764	0.719
LD	37091	all	10	10m35s	0.559	0.365
CL	24663	all	159	10m00s	0.83	0.789
CCL	328688	all	171	10m00s	0.793	0.752
CCLL	361712	all	153	10m00s	0.821	0.84
CMCML	295536	all	107	6m30s	0.901	0.873
CMCMLL	320752	all	102	7m30s	0.904	0.892
CLL	287824	all	108	10m04s	0.879	0.856
CML	262416	all	137	10m03s	0.863	0.836
CLD	1246339	all	73	8m48s	0.902	0.857
CD	1059587	all	144	10m00s	0.758	0.751
CM	24579	all	98	10m01s	0.806	0.796
CCM	24600	all	93	10m04s	0.778	0.786
