Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C256_16_16L64D_cat	1131203	5	2m16s	0.78033334	0.77
C256_16_16L64D_bin	1131203	4	2m21s	0.8376667	0.8196667
C256_16_16L64D_mse	1131203	4	2m02s	0.85366666	0.84166664
C256_16_16RL64D_cat	2180035	4	2m10s	0.82766664	0.81766665
C256_16_16RL64D_bin	2180035	4	2m02s	0.84466666	0.841
C256_16_16RL64D_mse	2180035	4	2m04s	0.85833335	0.8373333
C256_16_16PL64D_cat	3228867	3	2m14s	0.85033333	0.83433336
C256_16_16PL64D_bin	3228867	3	2m15s	0.85733336	0.8476667
C256_16_16PL64D_mse	3228867	3	2m16s	0.8463333	0.85833335
C256_16_16PRL64D_cat	4277699	2	2m16s	0.84433335	0.83666664
C256_16_16PRL64D_bin	4277699	2	2m04s	0.855	0.85
C256_16_16PRL64D_mse	4277699	2	2m08s	0.86266667	0.849
