True	doc	f	gif	gz	html	java	jpg	png	ppt	ps	rtf	swf	txt	unk	xls
doc	8	0	0	1	0	0	2	2	0	0	0	2	8	0	12
f	0	20	0	0	0	0	0	1	0	4	0	0	11	0	0
gif	1	0	17	6	0	0	9	4	1	0	0	1	0	0	0
gz	0	0	2	16	0	0	5	3	0	0	0	0	0	0	0
html	0	1	0	0	9	8	0	0	0	1	4	0	5	2	0
java	0	6	0	0	0	22	0	0	0	1	1	0	2	0	0
jpg	0	0	3	10	0	0	18	5	2	0	0	0	0	0	1
png	0	0	6	11	0	0	11	10	0	0	0	0	0	0	0
ppt	1	0	1	8	0	0	6	2	0	0	0	1	2	0	8
ps	1	2	0	0	1	0	0	0	0	22	6	0	1	0	0
rtf	0	0	0	0	0	0	0	0	0	0	29	0	2	0	0
swf	0	0	5	10	0	0	9	8	0	0	0	3	0	1	0
txt	0	13	0	0	0	0	0	0	0	7	1	0	13	0	0
unk	0	8	0	3	0	5	0	0	0	2	0	0	8	2	3
xls	4	0	0	0	0	0	0	0	0	0	0	0	3	1	23
