True	csv	dbase3	doc	f	gif	gz	java	jpg	log	pdf	png	ppt	ps	rtf	swf	txt	xls	xml
csv	14	1	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0
dbase3	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	18	0	0	1	0	0	0	0	3	0	0	0	1	7	1	0
f	0	2	0	9	0	0	8	0	3	0	0	0	0	0	0	6	0	2
gif	0	0	1	0	5	1	0	5	0	1	9	0	0	0	1	0	0	0
gz	0	0	0	0	1	2	0	15	0	0	7	0	0	0	1	0	0	0
java	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	3
jpg	0	0	0	0	1	3	0	13	0	0	3	0	0	0	1	0	1	0
log	2	0	0	1	0	0	3	0	16	0	0	0	1	0	0	1	0	4
pdf	0	0	0	0	1	2	1	16	0	2	6	1	3	0	1	0	0	2
png	0	0	0	0	1	2	0	16	0	0	9	0	0	0	1	0	0	0
ppt	0	0	6	0	1	2	0	7	0	0	7	0	0	1	1	0	1	0
ps	2	0	0	0	0	2	1	0	2	0	0	0	18	2	0	0	0	0
rtf	0	0	0	1	0	0	0	0	2	0	0	0	2	25	0	4	0	2
swf	0	0	1	0	3	2	0	9	0	0	7	0	1	0	5	0	1	0
txt	3	3	0	2	0	0	8	0	6	0	0	0	1	0	0	8	0	0
xls	0	1	9	0	0	0	0	0	0	0	0	3	1	0	1	1	13	0
xml	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	21
