True	csv	dbase3	doc	f	gif	gz	html	java	jpg	log	pdf	png	ppt	rtf	swf	txt	unk	xls	xml
csv	17	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
dbase3	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	18	0	0	1	0	1	1	0	0	0	0	0	0	1	5	4	0
f	0	0	0	12	0	0	0	7	0	2	0	0	1	0	0	5	5	0	0
gif	0	0	1	0	9	9	0	0	5	0	1	2	1	0	2	0	0	0	0
gz	0	0	0	0	5	13	0	0	1	0	1	2	0	0	5	0	0	0	0
html	0	0	0	1	0	0	8	2	0	4	1	0	0	0	0	0	3	0	4
java	2	0	0	3	0	0	1	19	0	2	0	0	1	0	0	0	0	0	0
jpg	0	0	1	0	3	4	0	0	5	0	1	2	3	0	8	0	1	0	0
log	0	0	0	1	0	0	0	1	0	20	0	0	0	0	0	1	3	0	1
pdf	1	0	0	0	2	8	1	1	2	1	8	2	0	0	0	0	2	0	0
png	0	0	0	0	5	8	0	0	1	0	0	1	2	0	6	1	0	0	0
ppt	0	0	3	0	2	5	0	0	4	0	2	1	3	0	1	0	0	1	0
rtf	0	0	0	2	0	0	0	0	0	1	0	0	0	16	0	0	2	0	0
swf	0	0	0	0	3	11	0	0	2	0	1	2	2	0	5	0	0	2	0
txt	3	1	0	5	0	0	0	2	0	0	0	0	0	0	0	7	7	0	0
unk	1	1	2	3	0	1	0	1	0	2	0	0	0	0	1	7	6	1	0
xls	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	1	2	14	0
xml	0	0	0	0	0	0	3	2	0	8	0	0	0	0	0	2	4	0	9
