True	csv	dbase3	doc	f	gz	html	java	jpg	png	rtf	swf	txt	unk	xls	xml
csv	77	0	0	4	0	4	0	0	0	0	0	11	0	4	0
dbase3	0	99	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	2	24	3	3	4	0	7	0	2	2	6	2	45	0
f	4	1	0	55	0	17	7	0	0	1	0	3	10	2	0
gz	0	0	0	0	23	1	0	26	30	0	19	0	1	0	0
html	10	3	0	7	0	59	3	0	0	0	0	4	4	0	10
java	0	0	1	36	0	12	44	0	0	0	0	3	4	0	0
jpg	0	1	2	1	10	0	0	28	41	0	14	0	1	2	0
png	0	0	1	0	5	0	0	20	43	0	31	0	0	0	0
rtf	0	0	0	1	0	4	0	0	1	85	0	7	0	0	2
swf	0	0	2	0	6	0	0	25	22	0	39	0	0	6	0
txt	4	9	2	29	0	18	0	0	0	2	0	20	13	2	1
unk	2	5	6	15	2	14	2	5	2	2	5	11	14	11	4
xls	1	0	11	1	0	2	0	0	0	2	0	4	3	76	0
xml	3	0	0	1	0	32	6	0	0	2	0	2	1	0	53
