True	csv	dbase3	doc	gz	html	java	jpg	log	pdf	png	ppt	ps	rtf	swf	txt	xls
csv	87	0	3	0	1	0	0	1	0	1	0	2	0	0	4	1
dbase3	0	97	0	0	0	0	0	0	1	0	0	1	0	0	1	0
doc	0	0	59	4	2	1	5	0	1	2	0	2	3	6	12	3
gz	0	0	0	19	0	0	57	0	2	16	0	2	0	4	0	0
html	7	0	2	0	69	3	0	6	2	0	0	1	4	0	6	0
java	3	0	0	0	12	78	0	1	0	0	0	2	0	0	4	0
jpg	0	1	1	12	1	0	58	0	0	19	0	0	0	7	0	1
log	6	2	1	0	19	8	0	39	0	0	0	21	0	0	4	0
pdf	0	0	0	11	3	0	39	1	22	7	1	10	0	5	1	0
png	0	0	3	22	0	0	47	0	1	17	0	0	0	10	0	0
ppt	0	0	20	18	1	0	33	0	1	8	1	0	0	10	0	8
ps	3	0	1	0	3	4	4	2	0	0	0	71	9	0	2	1
rtf	0	0	2	0	1	0	0	0	0	0	0	6	87	0	4	0
swf	0	0	0	12	0	0	51	0	0	10	0	0	0	27	0	0
txt	10	4	5	0	12	7	0	4	2	0	0	23	5	0	28	0
xls	1	1	39	0	1	0	0	1	0	0	0	3	0	0	3	51
