True	csv	doc	f	gif	gz	html	java	jpg	log	pdf	png	ppt	rtf	swf	txt	unk	xls
csv	75	4	4	0	0	3	0	0	4	0	0	0	1	0	9	0	0
doc	0	58	0	1	4	0	0	2	1	2	5	8	2	2	11	1	3
f	1	1	35	0	0	5	6	0	9	1	0	0	3	0	26	12	1
gif	0	2	0	45	7	0	0	9	0	1	28	2	0	6	0	0	0
gz	0	0	0	7	33	0	1	11	0	4	33	2	0	9	0	0	0
html	0	2	1	0	0	62	1	0	11	5	0	0	10	0	5	2	1
java	1	0	7	0	0	11	62	0	9	0	0	0	1	0	7	2	0
jpg	0	1	0	13	15	0	0	9	0	4	38	4	0	16	0	0	0
log	2	0	2	0	0	2	1	0	76	1	0	0	1	0	11	4	0
pdf	1	0	0	6	14	4	0	6	2	43	13	3	0	7	1	0	0
png	0	0	0	9	21	0	0	6	0	1	45	3	0	15	0	0	0
ppt	0	18	0	2	20	0	0	8	0	1	18	16	0	11	0	0	6
rtf	0	4	0	0	0	0	0	0	1	0	0	0	88	0	7	0	0
swf	0	0	0	9	10	2	0	9	0	3	31	6	0	29	0	1	0
txt	7	4	9	0	0	5	1	0	16	5	0	0	1	0	35	11	6
unk	0	14	6	2	1	8	4	2	6	4	1	0	5	1	24	21	1
xls	0	36	1	3	0	0	0	0	0	0	1	8	0	4	1	1	45
