True	csv	dbase3	doc	f	gif	gz	html	java	jpg	log	pdf	png	ppt	ps	rtf	swf	txt	unk	xls	xml
csv	78	0	1	3	0	0	5	1	0	4	0	0	0	2	1	0	0	0	3	2
dbase3	0	98	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
doc	0	0	54	4	1	3	1	0	0	0	3	1	8	0	2	4	4	4	10	1
f	2	0	4	32	1	0	3	22	0	8	0	0	1	0	0	0	8	12	3	4
gif	0	0	0	0	57	12	0	0	10	0	0	8	4	0	0	6	0	2	1	0
gz	0	0	0	0	3	31	0	0	32	0	1	4	15	2	0	12	0	0	0	0
html	2	0	4	5	0	0	39	5	0	13	0	0	0	0	0	0	5	6	0	21
java	0	0	1	3	0	0	4	84	0	1	0	0	0	3	0	0	0	1	1	2
jpg	0	0	0	0	4	32	0	0	40	0	2	7	6	0	0	9	0	0	0	0
log	0	0	1	7	0	0	10	6	0	56	1	0	0	0	2	0	3	5	0	9
pdf	1	0	0	0	5	17	1	1	18	2	29	4	6	6	0	5	0	1	0	4
png	0	0	0	0	8	22	0	0	33	0	5	17	7	0	0	8	0	0	0	0
ppt	0	0	8	0	4	23	0	0	20	0	5	8	16	0	2	11	0	0	3	0
ps	3	0	1	4	1	1	0	0	0	12	0	0	2	62	5	0	2	6	0	1
rtf	0	0	7	3	0	0	0	1	0	1	0	0	0	3	82	0	0	1	0	2
swf	0	0	0	0	7	19	0	0	34	0	3	4	2	0	0	30	0	1	0	0
txt	6	2	11	15	0	0	6	8	0	17	0	0	0	5	2	0	14	12	1	1
unk	1	0	9	11	0	3	3	19	3	6	1	0	1	1	2	2	7	24	5	2
xls	0	1	27	0	1	0	0	0	2	0	1	0	10	1	1	4	1	2	49	0
xml	0	0	5	1	0	0	12	10	0	5	0	0	0	1	0	0	2	1	0	63
