True	dbase3	docx	dwf	gif	html	java	kml	kmz	pdf	ppt	pptx	rtf	text	tmp	xls
dbase3	96	0	0	0	0	0	0	0	0	0	0	0	0	0	1
docx	0	20	48	0	0	0	0	25	1	2	6	0	0	0	2
dwf	0	9	52	2	0	0	0	16	1	2	9	0	0	0	0
gif	0	3	35	41	0	0	0	9	2	2	4	0	3	0	2
html	2	0	1	0	53	3	8	0	1	0	0	18	2	10	0
java	0	0	0	0	7	84	0	0	0	0	0	1	2	6	0
kml	0	0	0	0	10	2	90	0	0	0	0	1	1	0	0
kmz	0	8	39	3	0	0	0	42	0	2	15	0	0	0	1
pdf	0	3	44	1	0	0	2	18	26	4	2	1	0	1	0
ppt	0	6	20	3	0	0	0	9	2	25	13	0	1	2	9
pptx	0	11	31	8	0	0	0	24	1	5	18	1	1	0	1
rtf	0	0	0	0	1	0	0	0	0	0	0	96	2	0	0
text	6	2	11	0	4	5	1	8	3	5	4	11	25	5	7
tmp	3	0	0	0	6	8	3	0	2	0	0	2	3	82	0
xls	0	0	2	0	0	0	0	1	1	11	0	2	4	1	75
