True	csv	docx	f	fits	html	jpg	log	png	pps	ppt	sql	tex	txt	wp
csv	86	0	4	1	3	0	2	0	0	0	3	3	1	0
docx	0	44	0	1	0	10	0	25	6	17	0	0	0	0
f	3	0	45	8	5	0	6	0	0	0	13	6	5	4
fits	0	10	0	72	1	2	2	3	1	1	3	2	0	2
html	2	0	7	0	60	0	16	0	0	1	1	11	2	1
jpg	0	34	0	0	0	15	1	19	17	5	0	0	0	2
log	0	0	8	0	14	0	74	0	0	0	3	9	3	0
png	0	39	0	2	0	11	0	27	13	9	0	0	0	2
pps	0	32	0	1	0	13	0	15	14	25	0	0	0	1
ppt	0	25	0	2	0	5	0	13	18	34	0	0	0	6
sql	0	4	8	2	6	0	7	0	0	0	67	3	0	0
tex	1	1	3	0	8	0	8	0	0	0	7	65	0	1
txt	4	0	35	6	7	0	8	0	0	0	13	7	16	4
wp	0	5	5	0	3	0	1	0	3	3	2	4	0	71
