True	dwf	f	fits	gif	gz	java	kml	log	pdf	ppt	ps	rtf	text	tmp	xml
dwf	7	0	0	41	30	0	0	0	17	4	0	0	1	0	0
f	0	54	8	0	0	15	1	4	0	0	1	3	4	7	2
fits	1	8	68	12	0	0	0	1	4	1	0	0	2	1	0
gif	4	0	0	73	16	0	0	0	6	1	0	0	3	0	0
gz	6	0	0	23	45	0	0	0	21	3	0	0	2	0	0
java	0	14	1	0	0	78	2	1	0	0	0	0	1	0	5
kml	0	0	1	0	0	1	90	0	0	0	0	1	2	1	9
log	0	13	1	0	0	2	7	52	0	0	1	2	1	12	9
pdf	5	0	2	26	28	0	0	0	29	3	6	1	0	0	1
ppt	5	1	6	19	16	0	0	0	14	28	0	0	4	0	0
ps	0	5	0	2	0	2	2	2	1	0	77	7	1	1	0
rtf	0	3	0	0	0	1	0	1	0	0	2	87	4	1	1
text	2	25	10	4	13	4	1	1	2	11	7	2	19	1	2
tmp	0	8	1	0	0	2	6	17	3	0	5	3	6	39	12
xml	0	3	0	0	0	6	11	0	0	0	0	2	5	2	64
