True	csv	dbase3	doc	eps	f	hlp	java	kml	pdf	png	ppt	pptx	ps	rtf	troff	wp
csv	62	4	0	2	0	0	0	3	0	0	0	0	5	0	17	2
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	65	1	0	1	2	0	2	5	10	6	0	0	1	8
eps	0	0	0	48	0	1	5	1	2	0	0	0	49	1	0	2
f	1	7	0	5	22	4	10	0	0	2	0	0	6	2	26	14
hlp	0	3	2	0	5	69	8	0	0	0	0	0	0	0	4	6
java	0	0	1	1	6	4	77	0	0	0	0	0	2	2	3	5
kml	0	0	1	1	3	0	8	86	1	0	0	0	0	0	0	1
pdf	0	1	0	3	0	0	0	4	21	24	28	11	5	1	0	0
png	0	0	1	0	0	0	0	0	7	38	33	18	0	0	0	0
ppt	0	2	21	0	0	0	0	0	1	34	29	11	0	0	0	5
pptx	0	0	2	0	0	0	0	0	4	29	37	25	0	0	0	2
ps	1	1	2	15	0	1	2	1	0	1	0	0	67	3	3	0
rtf	1	0	5	2	1	5	1	1	0	0	0	0	5	71	3	9
troff	5	5	2	2	3	4	6	0	0	0	0	0	8	0	57	8
wp	0	0	10	1	0	1	0	0	0	1	3	0	0	0	1	85
