True	docx	dwf	eps	gif	html	java	kml	kmz	log	png	pps	ppt	pptx	tex	tmp	txt	wp
docx	39	15	0	16	0	0	0	8	0	6	0	10	3	0	0	0	2
dwf	27	23	0	21	0	0	0	5	0	10	0	5	5	0	0	0	2
eps	0	0	56	0	4	5	4	0	19	0	0	0	0	1	0	3	2
gif	17	8	0	62	0	0	0	2	0	4	0	3	5	0	0	0	1
html	0	0	1	0	27	13	8	0	30	0	0	0	0	13	1	10	0
java	0	0	1	0	2	74	3	0	9	0	0	0	0	7	0	3	2
kml	0	0	0	0	5	1	77	0	7	0	0	0	0	3	0	5	0
kmz	39	9	0	13	0	0	0	12	0	4	0	8	4	0	0	0	1
log	0	0	1	0	7	8	5	0	68	0	0	0	0	3	1	11	0
png	28	15	0	28	0	0	0	13	0	7	0	5	5	0	0	0	1
pps	28	15	1	21	0	0	0	5	0	4	1	19	4	1	0	0	7
ppt	22	12	0	21	0	0	0	7	0	4	2	22	5	0	0	0	8
pptx	41	15	0	17	0	0	0	10	0	5	0	8	4	0	0	0	4
tex	0	0	0	0	3	8	1	0	16	0	0	0	0	52	1	15	2
tmp	4	0	0	0	8	3	0	0	33	0	0	0	0	3	22	23	0
txt	0	0	4	0	11	15	0	0	8	0	0	0	0	8	0	45	6
wp	0	1	0	0	3	1	1	0	2	0	0	9	0	2	0	10	76
