True	doc	docx	eps	f	gif	gz	java	kmz	log	pps	ppt	pptx	ps	sql	tex	troff	unk	wp	xls
doc	34	0	1	2	11	2	0	1	2	0	2	0	0	2	0	2	8	4	35
docx	6	21	0	0	47	13	0	3	0	1	0	10	0	0	0	0	1	1	5
eps	0	0	55	0	1	0	4	0	8	1	1	0	11	4	2	14	2	0	0
f	0	0	5	34	0	0	10	0	10	0	0	0	1	8	2	22	5	1	0
gif	0	5	0	0	76	7	0	1	0	1	0	7	0	0	0	0	0	0	0
gz	1	11	0	0	43	26	0	6	0	1	0	7	0	0	0	0	0	0	0
java	0	0	0	9	0	0	77	0	6	0	0	0	0	2	5	2	2	0	0
kmz	0	15	0	0	34	21	0	11	0	2	0	9	0	0	0	0	0	0	0
log	0	0	9	4	0	0	5	0	57	0	0	0	3	2	3	11	5	0	0
pps	8	9	0	0	45	16	0	5	0	1	2	7	0	0	0	0	0	1	3
ppt	13	6	0	0	33	11	0	0	0	2	6	6	0	1	0	0	0	5	8
pptx	1	12	0	0	50	17	0	4	0	2	1	9	0	0	1	0	0	2	0
ps	0	0	35	3	0	0	3	0	7	0	0	0	45	2	2	5	2	0	0
sql	0	1	0	12	0	0	7	0	8	0	0	0	0	51	8	16	3	3	2
tex	0	0	0	6	0	0	7	0	10	0	0	0	0	3	55	5	10	1	0
troff	0	0	0	9	0	0	10	0	5	0	0	0	5	7	1	54	7	1	0
unk	4	3	0	18	11	1	10	1	4	0	1	2	1	4	0	10	26	1	4
wp	4	0	1	1	5	0	0	0	0	0	1	0	1	1	0	2	15	68	4
xls	6	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	4	4	78
