True	csv	dbase3	doc	docx	dwf	eps	gz	java	kml	kmz	png	pps	ppt	pptx	ps	tex	tmp	troff	unk	wp
csv	81	4	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	12	1	0
dbase3	0	93	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
doc	0	1	49	1	5	0	1	0	0	2	1	2	13	2	0	1	0	4	13	5
docx	0	0	4	11	10	0	7	0	0	8	22	3	3	28	0	0	0	0	3	3
dwf	0	0	0	7	25	0	10	0	0	15	20	3	0	19	0	0	0	0	1	3
eps	0	0	0	0	1	68	0	0	0	0	0	1	0	0	19	0	0	2	5	0
gz	0	0	0	4	10	0	23	0	0	13	22	1	1	24	0	0	0	0	0	0
java	1	0	0	0	0	1	0	58	0	0	0	0	0	0	1	6	1	16	19	0
kml	3	0	0	0	0	5	0	2	85	0	0	0	0	0	0	3	2	2	1	0
kmz	0	0	0	7	13	0	11	0	0	24	19	3	1	18	0	0	0	0	0	1
png	0	0	0	4	18	1	12	0	0	7	35	2	1	24	0	0	0	0	0	1
pps	0	0	4	3	14	0	10	1	0	11	21	1	10	18	0	0	0	0	5	3
ppt	0	0	4	4	15	0	10	0	0	10	15	10	17	16	0	0	0	0	0	0
pptx	0	0	2	6	11	0	10	0	1	7	22	2	1	26	0	0	0	0	0	3
ps	0	0	0	0	0	28	0	0	0	0	0	0	0	0	57	3	0	6	4	0
tex	2	0	0	0	0	4	0	0	0	0	0	0	1	0	2	70	1	8	14	0
tmp	6	4	1	0	0	17	0	2	1	0	0	0	0	0	4	5	36	18	10	0
troff	7	1	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	70	13	1
unk	1	5	5	1	3	2	0	4	1	2	1	1	1	0	3	9	1	19	33	3
wp	0	0	1	0	1	0	0	0	0	0	0	1	4	0	0	2	0	6	22	63
