True	dbase3	docx	dwf	eps	gif	java	jpg	kml	log	pdf	png	ppt	pptx	ps	rtf	swf	tmp	troff	txt	wp	xml
dbase3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
docx	0	22	7	0	8	0	13	0	0	0	26	2	18	0	0	4	0	0	0	0	0
dwf	0	5	17	0	9	0	12	0	0	0	24	0	22	0	0	13	0	0	0	0	0
eps	2	0	0	33	0	0	0	0	1	2	0	0	0	39	4	0	0	1	6	1	4
gif	0	2	11	0	44	0	7	0	0	1	12	0	14	0	0	4	0	0	0	2	0
java	0	0	0	1	0	88	0	1	1	0	0	0	0	0	0	0	4	2	4	5	1
jpg	0	3	8	0	3	0	14	0	0	0	29	1	34	0	0	2	0	0	0	1	1
kml	0	0	0	0	0	0	0	77	1	0	0	0	0	0	0	0	0	0	1	1	13
log	2	0	0	3	0	6	0	5	29	1	0	0	0	3	0	0	19	7	12	0	10
pdf	0	3	7	4	6	0	12	1	0	21	14	0	20	2	0	3	3	0	1	0	3
png	0	9	13	0	11	0	13	0	0	0	29	0	15	0	0	3	0	0	0	0	0
ppt	0	4	6	0	4	0	5	0	0	2	24	21	16	0	0	7	1	0	0	6	0
pptx	0	7	9	0	6	0	6	0	0	0	27	2	30	0	0	8	0	0	0	4	0
ps	0	0	0	16	0	1	0	1	2	4	1	0	1	61	5	0	3	5	5	0	1
rtf	0	0	0	0	0	0	0	1	1	0	0	1	0	1	84	0	2	0	3	10	0
swf	0	10	6	0	10	0	7	0	0	1	21	6	15	0	0	16	1	1	0	5	0
tmp	1	0	0	2	0	3	0	4	18	1	0	0	0	3	0	0	47	6	8	4	3
troff	0	0	0	0	0	3	0	3	1	0	0	0	0	3	1	0	1	57	16	16	2
txt	9	0	0	3	0	1	0	0	1	1	0	0	0	1	0	0	3	22	38	25	1
wp	0	0	0	0	1	0	0	0	0	0	0	9	1	0	0	3	0	1	6	85	0
xml	0	0	0	0	0	3	0	8	1	0	0	0	0	0	1	0	3	1	10	9	65
