True	csv	doc	docx	eps	f	fits	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ps	sql	swf	tex	text	tmp
csv	79	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	5	0	2	0	2
doc	0	65	0	0	2	1	0	4	6	3	0	0	3	0	0	3	2	0	3	2	2	3	1
docx	0	5	15	0	0	0	8	13	0	0	0	9	26	0	0	24	0	0	0	4	0	1	0
eps	0	1	0	46	1	1	2	0	1	7	3	0	0	0	0	0	0	38	1	0	0	1	0
f	2	1	0	0	33	7	0	0	8	3	17	0	0	3	0	0	0	0	17	0	1	3	2
fits	0	10	0	0	4	64	5	2	1	0	0	1	2	0	1	4	0	0	0	1	0	2	0
gif	0	1	2	0	0	5	36	12	0	0	0	2	16	0	1	19	1	0	0	5	0	1	0
gz	0	0	1	0	0	1	8	31	0	0	0	11	25	0	0	22	1	0	0	1	0	0	0
hlp	1	0	0	0	4	0	0	0	76	2	8	0	0	0	0	0	0	0	3	0	3	0	1
html	0	1	0	1	1	3	0	0	3	54	11	0	0	6	0	0	0	0	3	0	8	2	3
java	0	0	0	2	1	0	0	0	4	5	74	0	0	1	0	0	0	0	5	0	7	0	0
jpg	0	1	1	0	0	1	4	18	0	0	0	23	34	0	1	21	0	0	0	1	0	2	0
kmz	0	0	3	0	0	0	5	21	0	0	0	13	41	0	1	19	0	0	0	1	0	0	0
log	0	0	0	0	4	0	0	0	3	18	1	0	0	56	2	0	0	0	3	0	5	0	8
pdf	0	0	1	2	0	0	3	10	0	2	0	8	28	0	17	13	0	9	0	8	0	0	0
png	0	0	0	0	0	2	6	10	0	0	0	8	27	0	0	36	2	0	0	3	0	2	0
pps	0	18	2	0	1	2	2	13	1	0	1	8	16	0	0	20	6	0	1	4	0	2	0
ps	3	0	0	20	2	0	0	0	1	4	2	0	0	5	2	0	0	59	0	0	1	0	1
sql	2	5	0	0	8	0	1	0	2	7	11	0	0	7	0	0	0	1	57	0	2	0	1
swf	0	2	3	0	0	0	12	12	0	0	0	12	25	0	1	15	3	0	0	9	0	4	0
tex	9	0	0	0	3	0	0	0	5	4	9	0	0	5	0	0	0	0	3	0	49	8	2
text	0	14	1	1	10	0	3	2	7	4	0	1	6	5	2	6	2	8	5	0	0	20	4
tmp	0	0	0	2	0	0	0	0	2	10	3	0	0	18	1	0	0	1	9	0	8	8	44
