True	csv	doc	docx	dwf	eps	gif	html	kml	log	pdf	png	pps	ppt	pptx	ps	rtf	swf	tex	text	tmp	troff	txt	xls	xml
csv	84	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	1	9	0	0	0
doc	2	25	2	5	1	1	0	1	1	0	2	3	4	2	0	2	1	1	1	0	2	5	39	0
docx	0	5	26	26	0	4	0	0	0	0	9	7	3	4	0	0	13	0	0	0	0	0	0	0
dwf	0	0	7	40	0	7	0	0	0	2	7	8	3	5	0	0	22	0	0	1	1	0	0	0
eps	2	0	0	1	57	0	3	1	0	0	0	0	0	0	19	5	0	0	0	4	1	5	1	0
gif	0	0	1	26	0	54	0	0	0	1	1	7	3	1	0	0	4	0	1	0	0	0	2	0
html	1	0	0	0	0	0	45	2	11	0	0	0	0	0	0	5	0	2	1	7	5	7	0	12
kml	1	0	0	0	1	0	6	70	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	14
log	6	0	0	0	1	0	7	0	63	0	0	0	0	0	1	2	0	5	0	5	6	6	0	8
pdf	4	0	1	21	4	6	4	0	0	13	8	8	1	5	5	0	12	0	0	4	1	0	0	0
png	0	0	8	36	0	12	0	0	0	0	15	11	3	4	0	0	9	0	0	0	0	0	0	0
pps	0	5	1	27	0	3	0	0	0	1	11	11	8	1	0	1	14	0	1	0	0	0	17	0
ppt	0	4	4	28	0	5	0	0	0	0	5	12	12	3	0	0	5	0	2	0	0	0	15	0
pptx	0	2	13	32	0	11	0	0	0	1	6	17	7	4	0	0	14	0	0	0	0	0	0	0
ps	2	0	0	0	16	0	4	3	6	0	0	0	0	0	49	2	0	2	2	5	5	4	0	0
rtf	0	0	0	0	1	0	3	0	3	0	0	0	0	0	3	84	0	4	1	0	1	4	0	1
swf	0	1	5	46	0	12	0	0	0	0	9	5	4	3	0	1	14	0	0	0	0	0	4	0
tex	2	0	0	0	1	0	12	0	8	0	0	0	0	0	0	4	0	54	0	5	5	5	0	1
text	0	4	2	13	4	2	5	1	1	2	1	3	2	2	4	2	3	1	7	3	6	23	13	0
tmp	0	0	0	0	2	0	8	0	26	0	0	0	0	0	1	4	0	0	0	33	6	14	0	6
troff	5	0	0	0	2	0	16	0	3	0	0	0	0	0	0	1	0	2	0	5	50	7	1	1
txt	4	0	0	0	2	0	13	0	2	0	0	0	0	0	1	2	0	1	10	2	19	37	0	2
xls	1	4	0	1	0	0	0	1	0	0	0	1	2	1	0	0	2	0	2	1	1	3	75	0
xml	0	0	0	0	1	0	22	15	2	0	0	0	0	0	0	4	0	4	0	1	2	4	0	47
