True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	jpg	kml	log	pdf	png	pps	ppt	pptx	ps	swf	tex	text	tmp	troff	txt	unk	wp	xls
dbase3	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	26	5	2	0	0	0	0	1	2	2	0	0	0	2	5	4	3	0	4	2	0	3	0	2	2	12	24
docx	0	2	32	9	0	0	0	2	8	0	1	0	0	0	16	2	1	17	0	8	0	0	1	0	0	0	4	0
dwf	0	0	20	14	0	0	1	3	4	0	4	0	0	2	18	1	0	5	0	23	0	0	1	0	0	0	0	2
eps	0	0	0	0	36	2	1	0	0	1	0	0	1	0	0	0	0	1	37	0	0	0	6	3	8	3	0	2
f	4	1	0	0	0	34	1	0	0	6	0	3	8	0	0	0	0	0	0	0	0	1	9	12	8	5	7	1
fits	5	1	1	5	0	1	56	2	1	0	1	0	1	0	2	1	0	2	0	1	0	0	2	0	0	9	0	6
gif	0	3	7	11	0	0	0	24	4	0	2	0	0	2	22	3	1	4	0	15	0	2	0	0	0	0	2	0
gz	0	0	16	15	0	0	1	3	17	0	6	0	0	2	17	1	2	11	0	11	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	6	0	0	0	66	0	0	0	0	0	0	0	0	0	0	1	0	3	9	9	4	5	0
jpg	0	0	22	16	0	0	3	1	5	0	6	0	0	1	12	2	2	9	0	14	0	0	1	0	0	0	1	0
kml	0	0	0	0	0	0	0	0	0	0	0	89	2	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0
log	1	0	0	0	1	11	1	0	0	0	0	11	39	0	0	0	0	0	1	0	10	0	19	5	3	3	0	0
pdf	0	0	15	12	2	0	1	1	4	0	1	2	0	26	14	1	0	8	7	6	0	1	1	1	0	0	0	0
png	0	0	21	13	0	0	2	4	5	0	3	0	0	2	17	0	2	16	0	13	0	0	0	0	0	0	0	0
pps	0	9	16	5	0	0	4	3	11	0	2	0	0	1	12	4	7	4	0	11	0	0	0	0	0	0	2	9
ppt	0	10	13	10	0	0	2	2	5	0	3	1	0	1	14	3	12	11	0	8	0	0	0	0	0	1	3	3
pptx	0	0	21	14	0	0	0	4	9	0	3	0	0	0	9	4	2	21	0	8	0	0	0	0	0	0	3	0
ps	2	0	0	0	7	1	1	0	0	0	0	1	7	6	1	0	0	0	54	0	8	0	4	1	1	3	0	0
swf	0	1	14	6	0	0	1	4	9	0	3	0	0	2	14	1	1	14	0	26	0	0	0	0	0	0	0	5
tex	0	0	0	0	0	2	0	0	0	2	0	1	5	0	0	0	0	0	0	0	60	0	12	4	5	3	5	0
text	1	5	6	4	1	3	3	0	1	1	0	2	1	1	3	1	1	3	2	3	4	3	2	8	18	5	14	5
tmp	0	0	0	0	2	0	0	0	0	3	0	3	23	3	0	0	0	0	4	0	0	1	42	6	6	1	0	0
troff	0	0	0	0	0	13	1	0	0	1	0	4	6	0	0	0	0	0	0	0	2	0	5	52	6	4	6	0
txt	4	0	0	0	1	5	2	0	0	9	0	0	0	0	0	0	0	0	1	0	4	2	12	10	35	5	8	0
unk	5	6	0	1	2	6	2	0	0	1	0	3	5	0	2	1	1	1	1	2	4	1	4	6	12	17	14	2
wp	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	1	0	2	2	4	77	3
xls	0	9	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	3	78
