True	csv	dbase3	doc	docx	eps	f	gif	gz	hlp	html	jpg	kml	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xml
csv	80	3	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	4	0	0	0	1	1	6	0	0	0
dbase3	0	95	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
doc	0	0	55	3	0	5	7	7	3	0	0	0	1	0	3	2	1	2	0	0	4	0	0	0	0	0	3	2	7	0
docx	0	0	1	26	0	0	17	13	0	0	2	0	0	0	19	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	36	0	0	0	2	1	0	0	0	4	0	0	0	0	24	1	3	0	0	1	0	1	18	3	1	1
f	2	6	1	0	0	26	0	0	8	3	0	0	0	3	0	0	0	0	0	0	21	0	0	0	2	4	28	6	0	0
gif	0	0	0	8	0	0	65	1	0	0	2	0	2	0	5	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
gz	0	0	0	13	0	0	17	34	0	0	4	0	1	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
hlp	0	1	0	0	0	8	0	0	68	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	9	1	1	0
html	0	2	1	0	0	3	0	0	7	26	0	3	0	4	0	0	0	0	0	5	7	0	1	0	0	0	8	11	2	21
jpg	0	0	0	13	0	0	36	15	0	0	9	0	1	0	14	1	0	15	0	0	0	1	0	0	0	0	0	1	1	0
kml	1	0	0	0	0	2	0	0	0	9	0	46	0	3	0	0	0	0	0	0	3	0	0	0	1	0	6	0	0	33
kmz	0	0	1	15	0	0	21	20	0	0	4	0	12	0	19	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
log	1	3	0	0	1	5	0	0	3	17	0	2	0	25	0	0	0	0	0	4	3	0	1	0	6	1	10	4	0	13
png	0	0	0	19	0	0	31	7	0	0	3	0	0	0	14	1	1	21	0	0	0	0	0	1	0	0	0	0	2	0
pps	0	0	8	13	0	0	17	15	0	0	4	0	2	0	12	0	6	19	0	0	0	0	0	2	0	0	1	1	1	0
ppt	0	0	13	9	0	0	8	14	0	0	1	0	3	0	6	7	9	19	0	0	0	0	0	1	0	0	0	0	4	0
pptx	0	0	0	13	0	0	19	14	0	0	6	0	5	0	11	0	0	17	0	0	0	0	0	0	0	0	0	1	4	0
ps	3	0	1	0	12	2	0	1	0	5	0	0	0	8	0	0	0	0	51	5	0	0	0	0	2	2	5	3	0	1
rtf	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	73	0	0	1	0	0	0	8	4	0	0
sql	0	1	6	0	0	8	0	0	6	4	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	2	5	5	2	1
swf	0	0	1	14	0	0	32	5	0	0	2	0	1	0	14	0	1	21	0	1	0	2	0	0	0	0	0	0	0	0
tex	3	0	0	0	0	6	0	0	4	3	0	2	0	1	0	0	0	0	0	2	6	0	31	0	1	0	16	5	3	15
text	0	2	9	6	0	4	6	4	3	1	0	1	0	0	3	0	1	2	2	0	9	1	0	7	1	3	18	5	5	0
tmp	0	3	5	0	1	2	0	0	0	6	0	0	0	13	0	0	0	0	0	0	14	0	0	2	21	2	11	5	0	9
troff	8	3	0	0	0	11	0	0	5	4	0	0	0	1	0	0	0	0	6	3	14	0	0	1	0	21	14	4	1	0
txt	3	4	1	0	1	8	0	0	7	1	0	0	0	0	0	0	0	0	1	2	10	0	0	1	3	4	50	9	2	0
unk	3	4	8	4	2	2	2	3	8	2	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	29	22	8	0
wp	0	0	5	0	0	1	0	0	2	0	1	0	0	0	0	1	3	0	0	1	4	1	0	1	0	0	18	8	61	0
xml	0	0	0	0	0	2	0	0	5	12	0	4	0	0	0	0	0	0	0	5	6	0	0	1	0	0	10	7	0	45
