True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml
csv	66	0	0	0	0	0	3	0	0	0	1	7	0	0	0	0	0	0	0	0	0	1	0	1	1	0	14	3	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
doc	0	0	54	0	1	0	3	0	6	4	1	2	1	3	0	1	2	1	8	0	0	1	0	2	1	0	0	5	4	4	0
docx	0	0	11	12	8	0	0	2	16	10	0	0	0	12	0	4	6	3	16	0	0	0	2	0	0	0	0	0	0	1	0
dwf	0	0	0	4	11	0	0	2	18	7	0	0	0	12	0	6	8	2	28	0	0	0	2	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	50	6	0	0	0	1	0	2	0	3	2	0	0	0	20	2	1	0	0	1	3	2	7	0	0	0
f	0	0	2	0	0	2	45	0	0	0	3	1	12	0	3	0	0	0	0	0	1	3	0	1	2	4	13	8	0	0	0
fits	0	1	5	0	5	2	8	52	4	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	5	0
gif	0	0	0	2	5	0	0	0	62	4	0	0	0	4	0	5	4	2	14	0	0	0	2	0	0	0	0	0	0	0	0
gz	0	0	0	5	10	0	0	0	15	14	0	0	0	16	0	5	8	2	20	0	0	0	1	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	12	0	0	0	65	1	5	0	0	0	0	0	0	0	1	2	0	0	0	0	4	9	4	0	0
html	0	1	2	0	0	1	5	0	0	0	3	34	5	0	6	1	0	0	0	1	2	2	0	7	0	2	8	4	2	0	12
java	0	0	1	0	0	0	5	0	0	0	3	1	67	0	3	0	0	0	0	0	0	4	0	4	0	1	1	1	0	0	3
kmz	0	0	2	5	5	0	0	1	20	5	0	0	0	37	0	4	5	2	15	0	0	0	0	0	0	0	0	0	0	0	0
log	0	0	0	0	0	2	15	0	0	0	0	6	1	0	45	0	0	0	0	2	2	4	0	1	0	13	4	3	0	0	1
pdf	0	0	0	6	5	5	0	3	15	6	0	3	0	8	1	18	5	0	20	4	0	0	1	0	0	0	2	0	0	0	1
png	0	0	0	1	11	0	0	1	32	8	0	0	0	11	0	7	5	0	28	0	0	0	1	0	0	0	0	0	0	0	0
pps	0	0	14	4	5	0	0	4	13	7	0	0	0	6	0	4	3	3	29	1	0	0	0	0	0	0	0	0	0	9	0
pptx	0	0	2	9	7	0	0	0	15	16	0	0	0	8	0	4	2	2	31	0	0	0	1	0	0	0	0	0	0	0	0
ps	2	0	0	0	0	24	0	0	0	0	1	2	4	0	1	2	0	0	0	50	4	0	0	0	1	3	3	1	1	0	1
rtf	0	0	2	0	0	1	0	0	0	0	2	2	0	0	1	0	0	0	0	10	69	1	0	3	0	0	2	2	2	0	1
sql	0	1	2	0	0	3	18	0	0	0	6	3	2	0	4	0	0	0	0	0	0	46	1	2	0	2	3	0	1	0	2
swf	0	0	3	2	8	0	0	0	26	9	0	0	0	12	0	4	2	2	15	0	0	0	11	0	1	0	0	0	0	1	0
tex	2	0	1	0	0	0	2	0	0	0	6	3	8	0	2	0	0	0	0	0	3	5	0	52	1	5	4	4	0	0	12
text	1	0	12	2	2	5	3	0	7	2	6	3	1	2	2	1	2	3	7	1	1	5	0	0	5	2	6	16	3	4	2
tmp	2	0	0	0	0	2	7	0	0	0	1	3	3	0	16	0	0	0	0	4	0	2	0	3	0	34	4	6	0	0	4
troff	1	0	4	0	0	5	22	0	0	0	5	6	5	0	1	0	0	0	0	4	0	3	0	0	1	0	37	5	1	0	1
txt	1	7	2	0	0	5	14	2	0	0	10	1	5	0	5	0	0	0	0	1	0	6	0	4	6	2	5	21	3	0	2
unk	0	2	12	0	0	1	12	3	1	0	4	11	2	1	1	1	0	0	1	1	1	4	0	4	1	1	4	9	9	4	2
xls	0	0	31	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	66	0
xml	0	0	0	0	0	1	4	0	0	0	0	22	4	0	7	2	0	0	0	0	2	3	0	4	0	2	0	0	1	0	49
