True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	text	tmp	txt	unk	wp	xls	xml
csv	80	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	7	0	1	0	3	2	0	0	0
dbase3	0	99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
doc	0	0	34	2	0	2	0	0	4	5	1	0	0	1	0	3	0	1	2	2	4	2	3	3	1	0	0	0	4	9	20	0
docx	0	0	3	19	11	0	0	0	14	9	0	0	0	3	0	11	0	2	13	1	2	0	0	0	8	0	0	0	0	2	1	0
dwf	0	0	0	16	20	0	0	1	22	4	0	0	0	2	0	13	0	2	13	0	2	0	0	0	2	0	0	0	0	1	0	0
eps	0	0	0	0	0	34	1	0	0	0	1	2	2	0	0	0	1	4	0	0	0	30	5	6	0	1	0	1	7	2	0	2
f	1	4	0	0	0	2	22	7	0	0	2	1	10	0	0	0	1	0	0	0	0	1	2	8	0	0	5	6	18	5	0	2
fits	0	4	0	3	1	0	2	62	4	0	0	0	0	0	0	0	0	1	2	0	0	0	1	4	5	1	0	2	6	0	4	0
gif	0	0	0	7	7	0	0	2	56	1	0	0	0	4	0	5	0	2	13	1	0	0	0	1	3	0	0	0	0	2	0	0
gz	0	0	0	7	13	0	0	0	13	17	0	0	0	4	0	16	0	1	16	4	5	0	0	0	5	0	0	0	0	0	0	0
hlp	0	0	0	0	0	2	12	2	0	0	60	1	5	0	0	0	0	0	0	0	0	0	3	3	0	0	1	1	6	0	0	0
html	0	1	0	0	0	0	2	2	0	0	1	20	9	0	3	0	5	1	0	0	0	0	7	6	0	0	2	1	6	5	0	27
java	0	0	0	0	0	1	4	0	0	0	0	6	70	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	1	0	7
jpg	0	0	0	12	12	0	0	1	22	16	0	0	0	6	0	13	0	1	12	1	2	0	0	0	2	0	0	0	0	1	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	1	2	0	69	0	0	0	0	0	0	0	0	2	0	2	0	4	1	0	0	17
kmz	0	0	0	8	14	0	0	0	20	9	0	0	0	5	0	16	0	3	18	5	4	0	0	0	1	0	0	0	0	0	0	0
log	0	0	0	0	0	5	4	0	0	0	0	10	2	0	3	0	31	2	0	0	0	11	1	9	0	0	3	0	7	0	0	13
pdf	0	0	0	4	15	1	0	0	15	4	0	1	0	3	0	3	0	23	10	1	1	9	0	1	2	0	1	0	1	0	0	2
png	0	0	0	9	17	0	0	0	26	8	0	0	0	4	0	7	0	2	16	1	1	0	0	0	7	0	0	0	0	1	0	0
pps	0	0	4	4	12	0	0	1	12	9	0	0	0	5	0	4	0	2	15	7	12	0	0	0	8	0	0	0	0	2	3	0
ppt	0	0	7	4	10	0	0	2	8	13	0	0	0	2	0	6	0	1	6	6	13	0	0	0	3	1	0	0	0	8	10	0
ps	0	0	0	0	0	15	1	1	0	1	0	1	3	0	0	0	4	6	1	0	0	47	12	2	0	0	0	0	3	1	0	3
rtf	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	92	0	0	0	0	0	2	0	0	3
sql	1	0	2	2	0	1	5	0	0	0	2	2	5	0	0	0	1	0	0	0	0	4	1	46	0	0	2	1	14	1	2	10
swf	0	0	0	7	22	0	0	0	16	6	0	0	0	4	0	13	0	0	11	3	4	0	0	0	9	0	0	0	0	1	2	0
text	1	0	5	1	7	1	4	2	3	2	2	1	0	0	1	2	1	4	2	0	1	3	2	4	2	7	0	6	11	14	8	1
tmp	0	0	0	0	0	0	1	0	0	0	0	4	1	0	1	0	23	6	0	0	0	1	3	11	0	0	38	8	2	0	0	2
txt	1	2	0	0	0	3	8	4	0	0	4	1	4	0	1	0	0	3	0	0	0	3	3	4	0	3	1	22	17	11	0	4
unk	0	1	4	1	2	0	4	20	2	2	1	1	5	0	0	2	0	0	0	0	2	0	7	4	1	0	0	1	24	12	4	6
wp	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1	2	9	2	2	0	0	1	6	66	5	0
xls	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	0	0	15	67	0
xml	0	0	0	0	0	1	0	0	0	0	0	5	5	0	5	0	0	0	0	0	0	0	5	0	0	0	1	1	2	3	0	71
