True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	swf	tex	tmp	troff	txt	unk	wp	xls	xml
csv	79	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	3	6	1	3	0	0	0
dbase3	0	97	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
doc	0	0	30	0	0	0	0	0	6	2	2	1	1	1	0	1	0	0	2	1	5	1	0	1	0	0	0	0	12	0	1	26	0
docx	0	0	1	10	15	0	0	0	26	3	0	0	0	5	0	3	0	0	19	2	1	8	0	0	4	0	0	0	0	0	2	6	0
dwf	0	0	0	7	18	0	0	0	34	4	0	0	0	7	0	4	0	0	16	1	0	6	0	0	2	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	59	2	1	0	0	0	3	2	0	0	0	1	0	0	1	0	0	17	1	0	0	0	0	4	0	1	0	1
f	2	3	0	0	0	1	31	4	0	0	2	3	10	0	0	0	3	0	0	0	0	0	3	2	0	1	1	9	19	0	0	1	0
fits	0	0	0	1	1	3	4	65	7	3	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	4	0	2	5	0
gif	0	0	0	2	6	0	0	0	67	4	0	0	0	5	0	2	0	0	11	1	2	4	0	0	0	0	0	0	0	0	0	0	0
gz	0	0	0	2	12	0	0	0	34	17	0	0	0	11	0	2	0	2	11	3	1	7	0	0	0	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	2	5	2	0	0	64	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	0	1	0	0
html	2	0	1	0	0	1	2	1	0	0	1	16	5	0	12	0	10	0	0	0	0	0	0	2	0	0	1	0	21	0	0	0	21
java	1	0	0	0	0	0	17	0	0	0	0	3	64	0	0	0	5	0	0	0	0	0	1	0	0	2	1	0	6	2	0	0	2
jpg	0	0	0	0	10	0	0	3	32	8	0	1	0	21	0	1	0	0	20	0	0	11	0	0	2	0	0	0	0	0	0	0	0
kml	1	0	0	0	0	1	0	0	0	0	0	2	0	0	64	0	14	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	12
kmz	0	0	0	4	12	0	0	0	14	7	0	0	0	6	0	15	0	0	21	1	1	10	0	0	1	0	0	0	0	0	1	1	0
log	2	2	0	0	0	12	8	0	0	0	0	3	4	0	3	0	38	0	0	0	0	0	7	0	0	3	2	3	4	1	0	0	8
pdf	1	0	0	4	9	2	0	0	26	5	0	2	0	2	0	3	0	14	11	1	0	4	10	1	2	0	0	1	0	0	0	1	1
png	0	0	0	5	13	0	0	0	29	3	0	0	0	12	0	2	0	0	19	0	0	11	0	0	1	0	0	0	0	0	0	0	0
pps	0	0	3	1	10	1	2	0	24	6	0	0	0	6	0	2	0	1	18	6	4	5	0	1	2	0	0	0	0	0	2	5	0
ppt	0	0	10	4	13	0	0	0	21	7	0	0	0	2	0	3	0	0	8	3	10	11	0	0	1	0	0	0	0	0	6	6	0
pptx	0	0	1	2	11	0	0	0	27	7	0	0	0	5	0	2	0	0	16	1	0	13	0	0	2	0	0	0	0	0	4	0	1
ps	2	0	0	0	0	30	0	1	0	0	0	3	4	0	1	0	3	0	0	0	0	0	49	3	0	0	0	0	2	0	0	0	1
rtf	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	6	72	0	0	0	0	14	1	0	0	0
swf	0	0	0	1	6	0	0	0	32	4	0	1	0	9	0	2	0	0	16	0	4	9	0	0	6	0	0	0	0	0	4	0	0
tex	1	0	0	0	0	0	3	0	0	0	2	4	1	0	2	0	7	0	0	0	0	0	1	3	0	44	4	1	24	1	0	0	6
tmp	1	0	0	0	0	9	3	0	0	0	0	2	5	0	0	0	21	0	0	0	0	0	12	4	0	1	24	0	13	1	0	7	6
troff	2	0	0	0	0	1	9	0	0	0	0	4	1	0	0	0	6	0	0	0	0	0	6	2	0	0	3	32	24	2	1	0	0
txt	1	3	0	0	0	6	7	5	0	0	5	1	0	0	1	0	3	0	0	0	0	0	7	0	0	2	1	6	49	2	0	0	0
unk	1	1	6	0	1	1	9	15	4	0	2	2	2	0	0	0	3	0	0	2	2	0	0	3	0	3	0	0	31	9	1	4	3
wp	0	0	3	0	0	0	2	1	3	0	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	0	1	2	22	1	60	2	0
xls	0	1	13	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	5	1	7	59	0
xml	0	0	0	0	0	1	1	0	0	0	0	12	3	0	9	0	8	0	0	0	0	0	0	5	0	2	2	0	9	1	0	0	46
