True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xml
csv	82	2	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	4	0	1	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	57	2	2	0	0	0	1	1	2	0	0	0	0	0	0	2	4	3	5	0	0	5	0	2	1	0	0	0	1	1	16	0
docx	0	0	0	22	6	0	0	1	20	16	0	0	0	2	0	1	0	1	14	6	1	2	0	0	0	6	0	0	0	0	0	0	3	0
dwf	0	0	0	3	15	0	0	0	13	12	0	0	0	3	0	3	0	1	21	5	3	0	0	0	0	15	0	1	0	0	0	0	1	0
eps	3	0	0	0	0	52	0	3	0	0	0	4	4	0	0	0	1	0	0	0	0	0	9	4	1	0	1	0	1	4	9	0	1	0
f	2	2	1	0	0	3	19	0	0	0	2	2	11	0	1	0	3	0	0	0	0	0	0	1	4	0	4	2	2	6	19	3	10	0
fits	0	5	4	1	3	0	0	54	8	0	3	2	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	2	0	1	7	3	3	0
gif	0	0	0	1	9	0	0	0	61	10	0	0	0	0	0	0	0	0	10	2	2	1	0	0	0	4	0	0	0	0	0	0	0	0
gz	0	0	0	2	8	0	0	0	23	25	0	0	0	7	0	1	0	2	18	7	1	0	0	0	0	3	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	2	0	0	0	67	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	9	0	15	0
html	6	3	0	0	0	1	1	0	0	0	0	37	3	0	5	0	2	0	0	0	0	0	0	5	3	0	9	2	0	1	6	1	5	7
java	0	0	0	0	0	1	12	0	0	0	3	4	55	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	2	0	4	3	3
jpg	0	0	0	1	14	0	0	1	27	15	0	0	0	10	0	5	0	1	14	4	2	3	0	0	0	4	0	0	0	0	0	1	1	0
kml	1	0	0	0	0	2	0	0	0	0	0	21	0	0	63	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	7
kmz	0	0	0	4	6	0	0	0	14	19	0	0	0	7	0	7	0	3	25	6	2	2	0	0	0	7	0	0	0	0	0	0	0	0
log	9	5	0	0	0	2	3	0	0	0	3	18	1	0	4	0	19	2	0	0	0	0	3	2	2	0	4	0	6	6	12	0	0	3
pdf	0	0	0	4	7	3	0	4	15	7	0	4	0	8	0	0	0	21	10	1	2	2	3	0	0	8	0	0	0	1	0	0	1	0
png	0	0	0	5	12	0	0	0	30	8	0	0	0	5	0	3	0	1	19	6	2	1	0	0	0	6	0	0	0	0	0	1	0	0
pps	0	0	5	3	14	0	1	0	11	14	0	1	0	1	0	2	0	0	14	5	9	2	0	1	0	8	0	1	0	0	0	0	5	0
ppt	0	0	8	3	7	0	0	1	11	13	0	0	0	3	0	1	0	0	17	11	18	1	0	0	0	5	0	1	0	0	0	0	5	0
pptx	0	0	3	10	8	0	0	0	18	12	0	0	0	5	0	4	0	0	15	10	3	4	0	0	0	5	0	0	0	0	0	0	1	0
ps	4	0	0	0	0	26	0	0	0	0	0	5	3	0	0	0	0	1	0	0	0	0	39	9	0	0	1	0	0	3	4	0	2	0
rtf	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	76	1	0	1	0	0	1	2	0	9	0
sql	1	1	4	0	0	0	5	2	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	24	0	5	4	1	18	7	7	8	3
swf	0	0	0	5	8	0	0	0	23	16	0	0	0	3	0	3	0	1	16	4	1	1	0	0	0	12	0	0	0	0	0	0	3	0
tex	2	0	0	0	0	0	3	0	0	0	2	14	0	0	0	0	4	0	0	0	0	0	0	6	0	0	49	0	1	2	11	3	5	1
text	1	1	11	0	3	1	1	0	7	2	2	1	0	1	0	1	0	0	2	6	6	1	2	1	1	0	1	5	0	6	18	4	13	0
tmp	4	1	4	0	0	5	0	0	0	0	0	17	3	0	2	0	7	1	0	0	0	0	1	3	3	0	1	0	19	6	21	0	0	1
troff	4	2	0	0	0	1	4	3	0	0	0	6	0	0	0	0	1	0	0	0	0	0	2	2	3	0	0	1	0	57	7	1	8	0
txt	7	4	0	0	0	2	1	4	0	0	1	6	3	0	0	0	1	1	0	0	0	0	1	2	2	0	3	3	1	2	35	3	18	0
unk	3	2	2	0	0	2	10	5	2	2	1	3	4	0	0	1	1	1	1	2	0	1	1	6	0	0	1	6	1	3	7	7	26	1
wp	1	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	5	0	0	1	2	0	2	1	3	74	0
xml	1	0	0	0	0	1	0	0	0	0	0	25	2	0	9	0	0	1	0	0	0	0	0	7	0	0	6	2	0	2	3	0	1	42
