True	docx	f	fits	html	java	jpg	log	pdf	pps	pptx	tmp	troff	xls	xml
docx	27	0	0	0	0	10	0	2	19	31	0	0	11	0
f	0	44	4	6	6	0	5	1	0	0	3	28	0	2
fits	4	3	64	0	0	1	0	0	6	6	0	5	11	0
html	0	2	4	41	12	0	5	1	0	0	5	12	0	28
java	0	12	0	6	72	0	2	0	0	0	0	8	0	2
jpg	13	0	2	0	0	16	0	2	22	43	0	0	1	1
log	0	13	2	4	2	0	43	8	0	0	7	11	0	5
pdf	9	0	3	0	0	11	0	29	22	22	0	4	1	0
pps	8	0	2	0	0	7	0	3	22	33	0	0	23	0
pptx	10	0	2	0	0	9	0	3	28	44	0	0	2	0
tmp	0	13	3	6	4	0	20	5	0	0	25	17	2	3
troff	0	4	0	9	2	0	4	0	0	0	1	81	0	2
xls	0	1	1	1	0	0	0	0	0	1	1	3	94	0
xml	0	2	1	14	7	0	6	1	0	0	0	3	0	60
