True	csv	doc	fits	gz	java	jpg	pdf	pps	ppt	swf	tmp	troff	txt	unk	wp
csv	84	0	0	0	0	0	0	0	0	0	4	3	9	2	3
doc	0	60	0	9	0	2	1	1	2	6	0	1	4	2	16
fits	0	5	46	8	0	2	1	5	0	13	2	0	2	4	3
gz	0	0	0	74	0	4	4	1	0	17	0	0	0	0	0
java	1	1	0	0	60	0	0	0	0	0	8	7	11	11	0
jpg	0	1	0	62	0	11	5	3	0	25	1	0	1	0	0
pdf	2	0	0	32	0	6	25	2	0	22	2	1	4	1	0
pps	0	6	2	55	0	5	3	1	6	14	0	0	0	0	2
ppt	1	9	1	45	0	6	4	1	13	19	0	0	0	0	1
swf	0	0	0	56	0	4	4	5	0	34	0	0	0	0	2
tmp	4	2	0	0	2	0	10	0	0	0	47	13	21	0	2
troff	9	0	0	0	1	0	0	0	0	0	2	57	13	4	16
txt	6	0	4	0	1	0	1	0	0	0	3	13	48	5	17
unk	0	10	3	3	2	2	5	2	3	2	3	7	18	25	16
wp	0	12	0	0	0	0	0	0	3	2	0	0	6	0	71
