True	dbase3	fits	gif	gz	hlp	html	jpg	kml	kmz	pdf	ppt	rtf	sql	text	troff	xls
dbase3	92	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0
fits	2	70	12	0	1	0	0	0	0	0	3	0	3	9	2	2
gif	0	0	70	8	0	0	11	0	0	3	0	0	0	2	0	0
gz	0	0	37	44	0	0	13	0	4	6	0	0	0	0	0	0
hlp	0	6	0	0	65	12	0	0	0	1	0	1	3	3	4	0
html	1	5	0	0	2	66	0	11	0	0	0	3	1	5	3	0
jpg	0	2	32	30	0	0	24	1	5	1	1	0	0	1	0	1
kml	0	0	0	0	0	11	0	87	0	0	0	0	0	1	0	0
kmz	0	0	34	35	0	0	11	0	11	0	2	0	0	1	0	0
pdf	0	1	39	21	0	2	9	3	1	20	0	0	0	4	0	0
ppt	0	2	28	21	0	1	13	0	5	1	24	0	0	4	0	2
rtf	0	1	0	0	3	1	0	0	0	1	1	93	0	3	3	0
sql	2	2	1	1	9	9	0	9	0	0	0	0	52	8	8	0
text	0	6	16	2	6	9	2	3	2	6	12	1	4	16	11	8
troff	2	1	0	0	2	20	0	1	0	5	0	1	1	6	63	0
xls	0	1	2	1	0	0	1	0	0	0	19	0	1	29	0	49
