True	dbase3	doc	docx	dwf	fits	gz	html	java	kmz	png	pps	pptx	sql	swf	text	tmp	xml
dbase3	101	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
doc	0	57	0	0	1	13	0	3	1	2	14	2	0	0	5	1	0
docx	0	5	18	1	0	26	0	0	9	24	11	6	0	7	0	0	0
dwf	0	0	10	2	4	22	0	0	10	14	11	6	0	27	1	0	0
fits	1	8	1	0	71	4	0	0	0	2	2	0	4	3	6	0	0
gz	0	0	9	2	0	39	0	0	8	17	5	3	0	10	0	0	0
html	1	8	0	0	3	0	32	4	0	0	0	0	7	0	16	12	16
java	0	0	0	0	0	0	5	77	0	0	0	0	5	0	5	5	1
kmz	0	0	4	2	0	32	0	0	17	14	12	3	0	12	1	0	0
png	0	0	15	2	1	26	0	0	10	19	6	2	0	11	0	1	0
pps	0	8	12	0	1	30	0	0	14	15	9	6	1	11	2	0	0
pptx	0	0	11	2	2	30	0	0	4	11	8	11	0	15	0	0	0
sql	0	5	0	0	3	1	0	11	0	0	0	0	63	0	8	9	0
swf	0	2	4	0	2	28	0	0	8	15	14	6	0	18	0	0	0
text	0	22	3	0	6	3	2	0	1	2	8	2	13	3	30	4	0
tmp	0	1	0	0	0	0	5	2	0	0	0	0	6	0	8	82	2
xml	0	4	0	0	0	0	14	6	0	0	0	0	7	0	10	9	45
