True	csv	f	fits	gif	html	java	jpg	kml	pdf	png	ppt	sql	swf	tex	troff	txt	unk	wp
csv	66	2	0	0	0	0	0	2	0	0	0	3	0	3	22	2	0	0
f	0	13	5	0	3	13	0	0	0	0	0	8	0	3	35	6	11	6
fits	0	4	57	5	0	0	3	0	4	1	1	4	6	1	1	2	4	1
gif	0	0	2	37	0	0	22	0	5	12	1	0	19	0	0	0	0	0
html	0	1	0	0	38	5	0	8	2	0	0	4	0	12	14	5	5	0
java	1	2	0	0	1	74	0	1	0	0	0	6	0	13	3	0	1	0
jpg	0	0	2	6	1	0	42	0	8	10	0	0	30	0	0	0	0	1
kml	1	0	0	0	2	1	0	96	0	0	0	0	0	2	0	0	0	0
pdf	0	0	4	10	2	0	22	7	23	12	0	0	20	1	1	0	2	0
png	0	0	0	11	0	0	36	0	1	24	0	0	30	0	0	0	0	2
ppt	0	0	3	2	0	0	26	0	5	13	22	0	16	0	1	0	1	5
sql	0	11	3	0	2	7	0	1	0	0	0	48	0	5	14	6	3	0
swf	0	0	0	10	0	0	32	0	3	7	1	0	51	0	0	0	1	3
tex	0	0	0	0	1	2	0	1	0	0	0	2	0	71	8	6	3	2
troff	2	3	1	0	1	0	0	0	1	0	0	3	0	9	77	2	2	1
txt	2	6	6	0	0	2	0	7	2	0	0	2	0	6	21	29	11	6
unk	0	4	2	0	4	10	3	1	1	0	3	4	4	8	15	5	24	7
wp	0	0	0	1	0	0	0	0	0	0	6	0	4	3	2	2	4	82
