True	dwf	eps	f	fits	gif	gz	hlp	html	java	kml	kmz	log	png	pptx	ps	tmp	txt	xls	xml
dwf	8	0	0	1	5	24	0	0	0	0	1	0	6	56	0	0	0	2	0
eps	0	45	0	2	0	2	1	2	3	1	0	14	0	0	25	1	7	1	3
f	0	1	18	13	0	0	6	10	21	2	0	7	0	1	0	8	14	1	2
fits	2	4	0	53	6	2	0	0	0	1	0	1	0	8	3	3	1	7	0
gif	3	0	0	0	46	9	0	0	0	0	0	0	11	23	0	0	0	1	0
gz	3	0	0	0	3	24	0	0	0	0	9	0	5	57	0	0	0	0	0
hlp	0	0	2	0	0	0	62	7	6	0	0	2	0	0	0	0	16	0	8
html	0	0	2	3	0	0	1	26	3	6	0	1	0	0	1	5	14	0	41
java	0	0	1	1	0	0	1	7	65	2	0	8	0	0	0	1	1	0	11
kml	0	0	0	0	0	0	0	1	0	85	0	2	0	0	0	0	0	0	19
kmz	1	0	0	0	3	17	0	0	0	0	13	0	9	54	0	0	0	0	0
log	0	0	2	2	0	0	0	4	1	7	0	47	0	0	0	4	2	0	22
png	6	0	0	0	6	12	0	0	0	0	6	0	19	54	0	0	0	0	0
pptx	1	0	0	0	6	17	0	0	0	0	4	0	12	54	0	0	0	2	0
ps	0	22	0	0	0	0	1	2	4	3	0	10	0	0	47	5	3	0	5
tmp	0	0	0	0	0	0	1	5	7	9	0	27	0	0	3	23	11	2	15
txt	0	1	2	16	0	0	5	8	3	9	0	9	0	0	3	7	36	0	8
xls	0	1	0	1	2	0	0	0	0	0	0	0	0	2	1	0	2	85	0
xml	0	0	0	1	0	0	2	8	0	20	0	1	0	0	0	0	4	0	61
