True	csv	doc	eps	f	gif	html	jpg	kml	pdf	png	pps	ps	sql	swf	text	troff	txt	unk	wp	xls
csv	85	0	0	2	0	3	0	0	0	0	0	1	0	0	1	6	2	2	0	0
doc	0	50	0	1	1	2	4	0	1	2	5	0	0	11	0	1	0	4	8	10
eps	2	0	24	1	0	0	0	0	1	0	0	55	3	0	0	2	2	1	1	0
f	0	0	0	25	0	5	0	0	0	0	0	2	7	0	1	19	8	25	9	0
gif	0	3	0	0	49	0	11	0	8	4	1	0	0	30	0	0	0	0	0	0
html	2	0	0	0	0	71	0	4	1	0	0	1	4	0	0	5	1	9	2	0
jpg	0	0	0	0	8	0	19	0	7	14	6	0	0	40	0	0	0	2	2	0
kml	1	0	0	0	0	11	0	81	0	0	0	0	0	0	0	0	0	0	0	0
pdf	0	0	2	0	4	2	16	3	22	6	5	9	1	33	0	0	0	0	0	0
png	0	0	0	0	4	0	21	0	9	15	5	0	0	47	0	0	0	0	1	0
pps	0	10	0	1	5	0	14	0	5	12	8	0	0	39	0	0	0	0	1	6
ps	4	0	4	7	1	8	1	2	3	0	0	64	1	0	0	5	0	1	0	0
sql	1	2	0	4	0	6	0	1	0	0	0	1	53	0	1	11	2	13	4	0
swf	0	1	0	0	9	0	15	0	5	13	5	0	0	50	0	0	0	0	1	1
text	3	16	0	1	1	1	6	0	1	1	7	9	4	9	4	4	12	4	13	7
troff	10	0	0	13	0	12	0	0	0	0	0	3	3	0	1	47	4	8	4	0
txt	4	1	1	9	0	11	0	0	0	0	0	2	3	0	3	17	29	13	9	0
unk	2	2	0	7	0	7	5	0	2	1	3	0	2	3	1	8	10	27	14	2
wp	1	2	0	0	0	4	0	0	0	1	0	0	0	6	0	2	1	1	81	1
xls	0	38	0	0	0	0	1	0	0	0	0	0	1	3	0	3	0	2	6	42
