True	csv	dbase3	doc	dwf	eps	fits	gz	hlp	html	jpg	log	pdf	png	pptx	ps	rtf	swf	tex	tmp	unk	wp
csv	77	3	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	5	3	2	0
dbase3	0	97	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	1	55	7	2	0	6	2	4	1	0	0	3	0	1	1	2	2	1	5	3
dwf	0	0	0	33	0	0	37	0	0	6	0	6	6	2	0	0	10	0	1	0	0
eps	1	0	0	0	81	0	0	0	0	0	2	0	0	0	9	1	1	0	5	0	0
fits	0	0	4	5	3	53	5	0	0	2	0	2	0	1	2	0	8	0	4	7	1
gz	0	0	0	14	0	0	64	0	0	2	0	6	6	3	0	0	5	0	0	0	0
hlp	0	0	1	0	5	0	0	73	1	0	0	0	0	0	0	0	0	6	1	10	4
html	3	0	0	0	8	6	0	5	38	0	10	1	0	0	2	2	0	9	7	7	2
jpg	0	0	0	14	0	1	54	0	1	13	0	3	8	1	0	0	6	0	0	0	1
log	0	0	0	0	19	1	0	1	8	0	37	0	0	0	0	2	0	7	22	7	0
pdf	0	0	0	7	17	4	24	0	1	3	2	19	7	1	1	0	13	0	2	0	0
png	0	0	1	15	0	1	31	0	0	9	0	4	14	3	0	0	22	0	0	0	2
pptx	0	0	4	17	0	1	42	0	0	2	0	5	5	4	0	0	16	0	0	0	0
ps	3	0	0	0	62	0	0	0	1	0	2	1	0	0	25	2	0	1	2	1	0
rtf	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	75	0	5	2	9	1
swf	0	0	6	28	0	0	29	0	0	6	0	2	2	2	0	1	24	0	0	0	3
tex	1	0	0	0	2	0	0	2	10	0	2	0	0	0	0	0	0	67	12	3	1
tmp	0	0	0	0	19	0	0	0	7	0	13	0	0	0	2	0	0	3	53	4	0
unk	3	2	2	0	18	3	4	7	5	0	3	0	0	0	1	3	2	10	2	32	2
wp	0	0	7	1	1	1	0	1	0	0	1	0	0	0	0	1	3	4	2	10	65
