True	csv	doc	docx	f	gif	gz	hlp	java	jpg	kmz	pps	ppt	pptx	ps	swf	text	tmp	troff	txt	unk	xls	xml
csv	87	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	0	2
doc	2	41	1	0	3	1	2	0	1	5	0	3	3	0	5	1	0	3	5	2	23	0
docx	0	9	19	0	11	11	0	0	14	14	0	0	11	0	14	0	0	0	0	0	2	0
f	5	0	0	37	0	0	11	6	0	1	0	0	0	0	1	0	3	20	8	9	0	0
gif	0	1	3	0	67	4	0	0	7	13	0	0	5	0	6	0	0	0	0	0	0	0
gz	0	0	11	0	12	17	0	0	16	24	0	0	8	0	7	0	0	0	0	0	0	0
hlp	1	0	0	12	0	0	73	1	0	0	0	0	0	0	0	0	1	4	2	7	0	0
java	1	0	0	11	0	0	3	60	0	0	0	0	0	1	0	0	5	9	1	5	0	5
jpg	0	0	10	0	16	12	0	1	20	20	0	1	10	0	12	0	0	0	0	0	0	1
kmz	0	0	14	0	17	9	0	0	14	26	0	1	5	0	13	0	0	0	0	0	0	0
pps	0	5	7	1	12	6	0	1	13	18	0	2	7	0	11	1	0	1	0	1	10	0
ppt	0	12	8	0	11	7	0	0	15	13	0	5	11	0	12	0	0	0	0	2	9	0
pptx	0	0	13	0	11	14	0	0	13	16	0	0	16	0	12	1	0	0	0	0	1	0
ps	3	0	0	12	0	0	1	2	0	0	0	0	0	65	0	0	7	6	5	0	0	0
swf	0	2	6	0	15	11	0	0	23	15	0	0	9	0	18	0	0	0	0	1	2	0
text	3	10	5	10	3	3	7	0	4	2	2	2	1	3	3	0	1	8	19	10	3	2
tmp	4	0	0	11	0	0	4	3	0	0	0	0	0	2	0	0	52	6	1	3	0	10
troff	18	0	0	7	0	0	7	4	0	0	0	0	0	5	0	0	1	45	10	4	0	1
txt	5	0	0	12	0	0	7	0	0	0	0	0	0	9	0	0	9	10	34	13	0	2
unk	4	3	0	12	0	0	10	2	1	2	0	0	0	1	2	2	3	5	17	21	8	4
xls	0	4	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	5	76	0
xml	3	0	0	1	0	0	3	6	0	0	0	0	0	0	0	0	7	2	6	4	0	66
