True	csv	dbase3	doc	gif	gz	html	java	kml	kmz	log	pdf	png	ppt	ps	rtf	sql	swf	tex	tmp	txt	unk	xls	xml
csv	83	3	0	0	0	3	2	0	0	0	0	0	0	1	1	1	0	0	0	8	1	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
doc	1	1	17	0	5	5	1	1	1	0	1	3	8	0	1	2	1	0	1	10	1	44	0
gif	0	0	0	38	1	0	0	0	18	0	1	13	11	0	0	0	12	0	0	0	0	2	0
gz	0	0	0	10	29	0	0	0	28	0	2	12	15	0	0	0	7	0	0	0	0	0	0
html	0	3	0	0	0	51	7	11	0	5	4	0	0	2	0	3	0	0	1	9	3	0	6
java	0	0	0	0	0	6	92	0	0	0	0	0	0	0	0	3	0	0	3	3	1	0	1
kml	0	0	0	0	0	10	0	69	0	0	0	0	0	0	0	1	0	2	0	7	0	0	8
kmz	0	0	0	5	21	0	0	0	27	0	5	17	15	0	0	0	13	0	0	0	0	0	0
log	4	3	0	0	0	8	3	6	0	30	0	0	0	5	0	4	0	3	21	6	2	0	2
pdf	0	0	0	6	15	0	0	3	16	0	14	21	9	3	0	0	4	0	0	1	0	0	1
png	0	0	0	8	16	0	0	0	30	0	0	23	9	0	0	0	11	0	0	0	0	3	0
ppt	0	0	1	7	18	0	0	0	24	0	1	5	18	0	0	0	5	0	0	0	0	15	0
ps	5	3	0	0	1	2	2	3	1	4	2	0	1	66	5	2	1	0	4	0	0	0	1
rtf	0	0	0	0	0	6	0	0	0	2	0	0	0	7	73	0	0	2	1	6	0	0	2
sql	1	0	0	0	0	12	10	0	0	3	0	0	0	0	0	45	0	1	3	10	2	5	2
swf	0	0	2	13	13	0	0	0	23	0	3	20	11	0	0	0	12	0	0	1	0	4	0
tex	3	0	0	0	0	13	5	0	0	1	0	0	0	0	0	5	0	50	5	15	6	1	1
tmp	1	0	0	0	0	7	5	0	0	9	0	0	0	11	0	5	0	8	45	10	0	0	1
txt	2	10	1	0	0	6	7	0	0	1	0	0	0	9	1	7	0	1	3	41	10	0	0
unk	0	1	5	2	1	9	14	3	2	1	0	1	2	2	0	1	0	3	2	17	30	3	1
xls	0	0	5	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	3	1	85	0
xml	1	0	0	0	0	30	1	15	0	0	0	0	0	0	0	0	0	0	1	4	0	0	42
