True	dbase3	doc	eps	fits	hlp	html	java	jpg	kmz	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	wp	xml
dbase3	92	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
doc	0	48	0	4	0	0	0	0	2	0	0	9	8	3	2	4	5	3	1	2	0	2	7	2
eps	0	0	65	0	2	1	1	0	0	0	0	0	2	0	4	2	1	3	0	8	0	4	0	7
fits	1	10	2	45	3	0	1	1	3	1	1	3	1	1	0	3	3	0	7	2	0	6	3	0
hlp	0	0	0	0	70	3	9	0	0	0	0	0	0	0	0	12	0	2	2	0	0	2	1	0
html	0	0	0	0	3	16	10	0	0	0	0	0	0	0	5	3	0	12	0	7	0	6	1	40
java	0	0	0	0	1	0	82	0	0	0	0	0	0	0	0	3	0	6	0	1	0	0	0	5
jpg	0	0	0	3	0	1	1	13	27	1	7	27	7	6	0	0	5	0	0	0	0	0	0	0
kmz	0	1	0	0	0	0	0	3	33	2	16	24	8	9	0	0	4	0	0	0	0	0	0	0
pdf	0	1	7	0	0	3	0	5	23	10	5	21	4	4	1	3	5	1	2	5	0	0	1	1
png	0	0	0	0	0	0	0	9	30	1	16	21	7	14	0	0	2	0	0	0	0	0	0	0
pps	0	10	2	3	0	0	0	6	21	2	8	19	12	5	1	1	4	0	1	0	0	0	2	0
ppt	0	9	0	2	0	0	0	5	14	1	6	23	23	7	1	0	4	1	1	0	0	0	6	0
pptx	0	1	0	0	0	0	0	9	28	1	6	27	11	6	0	0	10	0	0	0	0	0	2	0
rtf	0	1	1	0	0	0	0	0	0	0	0	0	0	0	83	1	0	9	0	2	0	0	2	2
sql	2	4	1	0	6	0	9	0	0	0	0	1	0	0	0	54	0	5	5	3	5	0	0	8
swf	0	2	0	3	0	0	0	10	20	0	8	24	5	6	1	0	16	0	0	0	0	0	2	0
tex	0	0	0	0	5	0	8	0	0	0	0	0	0	0	3	4	0	69	0	4	0	3	1	4
text	0	14	2	0	3	1	4	2	10	0	2	4	7	4	0	9	2	8	2	7	1	13	3	0
tmp	0	0	1	0	1	1	4	0	0	0	0	0	0	0	1	13	0	4	1	60	0	4	0	11
troff	0	0	3	0	2	2	14	0	0	0	0	0	0	0	2	8	0	6	0	8	41	1	3	6
txt	0	0	5	0	11	2	8	0	0	0	0	0	0	0	0	9	0	10	5	24	8	17	1	2
wp	0	6	0	4	2	0	4	0	0	0	0	1	3	0	3	1	1	2	0	0	0	1	72	0
xml	0	1	0	0	1	1	15	0	0	1	0	0	0	0	1	1	0	7	0	3	1	0	0	71
