True	csv	dbase3	doc	docx	f	gif	gz	hlp	html	jpg	kml	log	pdf	png	ppt	pptx	ps	sql	tex	tmp	txt	unk	wp	xls	xml
csv	86	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	1	3	0	1	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
doc	0	0	33	0	0	2	14	1	3	0	0	0	1	0	9	0	0	0	0	0	4	8	12	5	1
docx	0	0	5	7	0	9	56	0	0	3	0	0	5	2	7	1	0	0	0	1	0	0	0	0	0
f	1	0	0	0	42	0	0	2	4	0	0	1	0	0	0	0	0	14	0	5	14	12	3	0	0
gif	0	0	1	1	0	53	27	0	0	1	0	0	8	4	4	3	0	0	0	0	0	0	0	0	0
gz	0	0	0	3	0	6	74	0	0	3	0	0	6	2	1	5	0	0	0	0	0	0	2	0	0
hlp	0	0	1	0	15	0	0	55	3	0	0	2	0	0	0	0	0	0	3	1	5	3	7	0	0
html	3	0	0	0	2	0	0	3	32	0	3	5	1	0	0	0	0	5	3	0	10	7	2	0	23
jpg	0	0	0	0	0	13	58	0	0	10	0	0	8	3	4	0	0	0	0	0	0	0	0	0	0
kml	2	0	0	0	0	0	0	0	5	0	71	1	3	0	0	0	0	0	0	2	5	0	0	0	20
log	1	0	2	0	7	0	0	1	9	0	5	18	1	0	0	0	8	3	2	21	4	4	1	0	11
pdf	1	0	1	1	1	7	44	0	2	2	0	2	17	2	1	1	6	0	0	0	1	1	0	0	2
png	0	0	1	3	0	13	58	0	0	4	0	0	7	11	0	5	0	0	0	0	0	0	1	0	0
ppt	0	0	5	0	0	9	40	0	0	3	0	0	2	2	23	5	2	1	0	0	0	1	5	2	0
pptx	0	0	1	2	0	17	54	0	0	1	0	0	9	0	6	7	0	0	0	0	0	0	2	0	0
ps	1	0	0	0	6	0	0	0	1	0	1	1	7	0	0	0	76	0	0	5	1	0	0	0	3
sql	0	0	7	0	16	0	0	5	4	0	0	5	0	0	0	0	0	36	2	9	0	4	4	0	7
tex	0	0	0	0	5	0	0	3	4	0	0	5	0	0	0	0	0	0	51	13	3	5	1	0	6
tmp	6	0	0	0	4	0	0	0	7	0	1	6	1	0	0	0	17	4	0	46	8	2	0	0	7
txt	5	1	1	0	18	0	0	3	1	0	0	0	0	0	0	0	7	11	1	7	28	8	7	0	1
unk	2	0	5	0	21	2	3	0	3	1	0	1	0	1	3	1	1	5	3	3	14	23	7	1	4
wp	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	1	1	0	0	2	1	2	88	0	0
xls	1	1	29	0	0	1	1	0	0	0	0	0	0	0	15	0	2	0	0	0	0	4	7	40	0
xml	0	0	1	0	6	0	0	0	9	0	5	1	1	0	0	0	1	1	2	7	4	4	3	0	59
