True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	html	java	jpg	kmz	log	pdf	png	pps	rtf	sql	swf	tex	text	tmp	txt	unk	wp	xml
csv	80	0	0	0	0	1	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	3	0	2	7	0	0
dbase3	0	90	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
doc	0	0	51	0	1	0	0	0	4	1	0	2	2	0	3	4	5	2	0	1	1	3	0	0	2	10	0
docx	0	0	6	17	4	0	0	0	21	0	0	9	10	0	6	21	4	0	0	1	0	1	0	0	0	1	0
dwf	0	0	0	2	9	0	0	0	24	0	0	16	5	0	7	26	3	0	0	4	0	0	0	0	0	2	0
eps	3	0	0	0	0	71	0	2	0	4	3	0	0	0	6	0	1	8	0	1	0	0	1	4	1	0	0
f	5	0	0	0	0	1	25	1	0	5	22	0	0	0	2	0	0	0	3	0	0	4	2	2	20	3	0
fits	0	0	4	1	1	3	2	67	10	0	0	1	0	0	5	3	2	0	0	4	0	2	0	0	5	5	0
gif	0	0	2	1	4	0	0	0	60	0	0	7	1	0	7	5	2	0	0	4	0	2	0	0	0	0	0
html	4	0	0	0	0	2	0	1	0	62	2	0	0	2	1	0	0	10	0	0	3	5	0	3	4	2	8
java	0	0	0	0	0	1	2	0	0	7	73	0	0	4	0	0	0	0	1	0	2	0	0	1	6	1	0
jpg	0	0	0	0	5	0	0	0	19	2	0	21	7	0	11	22	4	0	0	4	0	0	0	0	3	0	0
kmz	0	0	0	2	6	0	0	0	17	0	0	18	18	0	7	23	3	0	0	2	0	0	0	0	0	0	0
log	0	0	0	0	0	4	4	1	0	20	5	0	0	33	2	0	0	2	4	0	4	1	7	4	4	0	6
pdf	0	0	0	0	3	2	0	1	17	4	0	10	3	1	25	22	3	1	0	2	0	0	0	1	3	0	1
png	0	0	0	1	7	0	0	0	29	0	0	12	4	0	8	32	6	0	0	2	0	0	0	0	0	1	0
pps	0	0	10	2	6	0	0	3	14	0	0	12	7	0	4	30	8	0	0	3	0	3	0	0	0	3	0
rtf	0	0	0	0	0	5	0	0	0	4	0	0	0	0	1	0	1	84	0	0	2	3	1	0	3	1	2
sql	4	0	0	0	0	3	1	1	0	11	9	0	0	3	1	0	0	1	33	0	5	3	4	9	11	0	3
swf	0	0	2	1	8	0	0	0	19	0	0	14	9	0	8	21	3	0	0	7	0	1	2	0	0	4	0
tex	2	0	0	0	0	0	2	0	0	12	11	0	0	1	0	0	0	4	0	0	57	3	3	2	3	5	6
text	2	0	10	1	3	1	4	1	4	3	0	3	3	1	1	7	2	6	1	0	1	10	1	9	15	7	0
tmp	0	0	1	0	0	4	1	0	0	10	2	0	0	19	6	0	0	3	2	0	0	1	37	10	3	0	3
txt	3	0	0	0	0	2	6	1	0	10	7	0	0	1	5	0	0	3	0	0	3	9	5	11	18	10	0
unk	3	0	9	0	0	3	3	4	2	8	10	2	0	0	0	5	3	4	0	0	1	2	0	6	21	8	3
wp	0	0	6	0	0	1	1	0	0	6	0	0	0	0	0	0	1	3	0	3	0	3	0	1	8	64	0
xml	0	0	0	0	0	0	0	0	0	29	11	0	0	3	0	0	0	4	1	0	5	0	2	0	6	3	28
