True	csv	dbase3	doc	docx	dwf	eps	fits	gz	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	text	tmp	troff	txt	unk	wp	xls
csv	71	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	3	1	7	4	0	0	0
dbase3	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0
doc	0	0	49	1	4	2	1	2	1	0	0	3	0	2	2	5	1	0	2	2	4	2	1	0	3	0	9	13
docx	0	0	5	11	14	0	0	11	0	0	0	5	0	13	0	0	5	0	0	0	25	0	0	0	0	0	6	0
dwf	0	0	0	1	31	0	0	13	0	0	0	4	1	13	0	0	3	0	0	0	31	0	0	0	0	0	1	0
eps	0	0	0	0	0	45	1	0	3	0	1	0	3	0	1	0	0	36	4	0	0	0	2	0	2	1	5	0
fits	0	1	7	0	12	0	67	5	0	0	0	0	1	2	1	1	1	0	0	0	3	0	2	0	0	3	2	1
gz	0	0	0	0	17	0	0	32	0	3	0	4	0	11	0	0	7	0	0	0	21	0	0	0	0	0	0	0
java	0	0	0	0	0	0	0	0	87	0	3	0	0	0	0	0	0	0	2	2	0	0	1	2	2	2	3	0
jpg	0	0	0	1	19	0	1	16	0	9	0	6	0	15	1	0	7	0	0	0	25	0	0	0	0	0	1	1
kml	0	0	0	0	0	2	0	0	1	0	87	0	0	0	0	0	0	0	0	2	0	0	6	0	1	1	0	0
kmz	0	0	1	0	20	0	0	26	0	2	0	21	0	10	0	0	7	0	0	0	18	0	0	0	0	0	0	0
pdf	0	0	0	0	14	9	2	7	0	3	2	1	10	6	2	0	3	15	0	1	17	0	2	1	0	0	0	1
png	0	0	0	2	21	0	0	19	0	0	0	9	1	15	1	0	3	0	0	0	23	1	0	0	0	0	0	0
pps	0	0	4	0	18	0	0	14	0	0	0	3	0	11	1	5	6	0	0	0	28	1	0	0	0	0	1	2
ppt	0	0	6	0	13	0	1	11	0	1	0	3	1	10	2	3	7	0	0	0	21	0	0	0	0	0	11	6
pptx	0	0	1	0	25	0	0	15	0	3	0	5	1	17	0	1	5	0	0	0	28	0	0	0	0	0	2	0
ps	0	0	0	0	0	35	0	0	4	0	2	0	2	2	0	0	0	52	0	2	0	0	0	2	0	0	1	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	94	0	0	2	0	1	2	0	8	0
sql	2	3	2	0	1	0	2	0	10	0	1	0	0	0	0	0	0	0	1	41	0	2	8	11	2	6	5	0
swf	0	0	0	2	23	0	0	11	0	0	0	0	2	11	0	0	3	0	0	0	33	0	0	0	0	0	6	2
text	0	0	12	0	6	2	1	3	1	0	0	1	0	3	2	1	1	6	2	5	8	5	3	8	10	2	8	6
tmp	0	0	0	0	0	12	1	0	5	0	5	0	1	0	0	0	0	14	0	6	0	1	47	2	4	0	0	0
troff	7	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	3	1	7	0	3	2	60	7	1	5	1
txt	3	0	0	0	0	10	7	0	7	0	2	0	0	0	0	0	0	6	1	3	0	6	7	5	29	8	16	0
unk	2	0	6	1	0	0	5	4	9	0	1	0	1	0	1	1	1	0	4	3	1	5	2	5	13	13	8	7
wp	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	2	2	0	1	3	2	1	1	0	75	2
xls	0	0	19	0	2	0	1	0	0	0	0	0	0	0	1	5	0	2	0	1	0	1	0	1	0	0	6	61
