True	dbase3	doc	docx	dwf	eps	fits	gif	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	swf	tex	text	tmp	troff	txt	unk	wp	xls
dbase3	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
doc	0	28	0	2	0	1	0	1	1	1	0	0	2	0	0	0	4	7	1	0	0	3	0	0	3	1	5	5	41
docx	0	2	11	1	0	0	11	0	0	0	8	0	10	0	0	5	7	20	16	0	10	0	0	0	0	0	0	1	3
dwf	0	0	0	7	0	0	21	0	0	0	6	0	16	0	0	7	6	11	15	1	13	0	0	0	0	0	0	2	0
eps	1	0	0	0	58	0	0	0	8	0	0	1	0	4	0	0	2	0	0	15	0	1	0	0	0	3	1	0	0
fits	0	0	0	1	3	44	3	2	0	0	0	0	0	0	0	0	2	3	3	0	7	0	3	0	0	2	8	1	10
gif	0	2	0	6	0	0	47	0	0	0	1	0	7	0	0	8	8	11	6	0	7	0	0	0	0	0	0	2	0
hlp	0	0	0	0	0	0	0	60	1	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	5	5	4	0
html	0	0	0	0	0	0	0	3	35	4	0	11	0	4	0	0	0	0	0	0	0	26	1	1	0	3	7	4	0
java	0	0	0	0	0	0	0	3	4	68	0	3	0	1	0	0	0	0	0	0	0	11	1	1	2	0	2	0	0
jpg	0	0	0	3	0	1	13	0	0	0	12	1	8	0	0	8	11	12	16	0	11	0	0	0	0	0	0	3	0
kml	0	0	0	0	0	0	0	0	13	2	0	79	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
kmz	0	1	0	4	0	0	5	0	0	0	3	0	21	0	0	5	14	25	12	0	7	0	0	0	0	0	0	1	0
log	1	0	0	0	3	0	0	1	28	7	0	9	0	23	0	0	0	0	0	2	0	9	0	6	3	5	5	0	0
pdf	0	0	0	4	7	0	14	0	2	2	5	1	6	1	8	1	7	11	11	3	9	0	0	1	0	0	1	0	0
png	0	2	0	7	0	0	17	0	0	0	2	0	8	0	0	14	8	19	11	0	10	0	0	0	0	0	0	0	0
pps	0	4	1	3	0	0	8	0	0	0	5	0	6	0	1	1	8	29	9	0	4	0	0	0	0	0	0	7	14
ppt	0	7	0	4	0	1	10	0	0	0	5	0	2	0	1	2	7	20	11	0	9	0	1	0	0	1	1	7	15
pptx	0	0	0	4	0	0	15	0	0	0	8	0	10	0	0	5	10	21	23	0	6	1	0	0	0	0	0	3	1
ps	0	0	0	0	47	0	0	0	1	3	0	1	0	4	0	0	0	0	0	37	0	4	0	0	2	0	0	0	0
swf	0	0	0	4	0	0	23	0	0	0	9	0	6	0	0	4	7	12	20	0	11	0	1	0	1	0	0	5	2
tex	0	0	0	0	1	0	0	4	8	3	0	6	0	5	0	0	0	0	0	0	0	60	0	2	3	4	5	1	0
text	0	9	0	0	4	1	6	5	1	0	2	5	0	0	3	1	4	9	3	5	3	3	1	3	7	13	6	5	9
tmp	0	4	0	0	4	0	0	3	16	5	0	4	0	12	0	0	0	0	0	1	0	4	1	31	5	8	1	0	0
troff	0	0	0	0	4	0	0	0	14	1	0	0	0	3	0	0	0	0	0	6	0	6	0	1	59	3	2	1	0
txt	2	0	0	0	9	1	0	9	2	2	0	4	0	1	0	0	0	0	0	2	0	9	1	7	12	19	10	10	0
unk	1	0	0	0	2	2	3	3	6	9	0	1	1	1	2	0	3	6	1	1	0	6	3	2	13	6	14	5	4
wp	0	2	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	2	2	0	0	4	2	0	0	0	7	73	2
xls	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	2	1	1	0	1	2	79
