True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tmp	troff	txt	unk	wp	xls
csv	84	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	1	6	1	0	0	0
dbase3	1	95	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
doc	0	0	44	0	0	0	3	0	1	2	0	0	3	0	4	0	0	0	1	1	2	3	1	4	0	0	5	0	0	28
docx	0	1	5	9	6	0	0	0	10	0	0	0	3	0	17	0	0	8	1	6	6	0	0	24	0	0	0	0	1	0
dwf	0	1	1	4	10	0	0	0	14	0	0	0	8	0	25	0	2	1	3	7	6	0	0	18	0	0	0	0	0	0
eps	0	0	1	0	0	68	3	0	0	1	5	0	0	0	0	8	0	0	0	0	0	5	1	0	1	1	2	1	1	2
f	5	1	0	0	0	0	37	0	0	5	2	8	0	0	0	2	0	0	0	0	0	1	1	0	4	10	18	6	0	0
fits	0	1	0	0	4	1	2	55	3	2	0	0	1	0	3	0	2	0	0	0	1	1	0	7	0	1	5	4	2	5
gif	0	0	2	0	7	0	0	0	56	0	0	0	3	0	6	0	1	0	1	3	4	0	0	15	0	0	0	0	0	0
hlp	0	0	0	0	0	0	16	0	0	76	0	4	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	2	0	0
html	2	0	0	0	0	0	4	0	0	2	57	3	0	6	0	9	0	0	0	0	0	4	1	0	0	3	11	3	0	0
java	0	0	0	0	0	0	20	0	0	6	6	62	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	3	0	0
jpg	0	0	1	1	6	0	0	1	16	0	0	0	11	0	25	0	2	2	3	9	7	0	0	13	0	0	0	1	0	0
kml	1	0	0	0	0	0	0	0	0	0	10	0	0	77	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0
kmz	0	0	0	2	9	0	0	0	15	0	0	0	6	0	36	0	4	6	0	8	4	0	0	15	0	0	0	0	0	0
log	3	0	0	0	0	0	9	0	0	5	14	3	0	2	0	47	0	0	0	0	0	1	3	0	9	3	3	3	0	0
pdf	0	0	0	1	8	6	1	2	12	1	3	0	2	5	14	1	10	3	4	4	6	0	0	8	0	4	1	0	0	0
png	0	0	0	0	6	0	0	0	16	0	0	0	0	0	22	0	5	8	0	5	6	0	0	29	0	0	0	0	1	0
pps	0	0	5	0	9	0	0	0	11	0	0	0	9	0	27	0	3	5	1	8	3	0	0	7	0	0	0	0	2	7
ppt	0	0	16	3	3	0	0	0	8	0	0	0	3	0	12	0	1	6	2	9	4	0	0	12	0	0	1	3	4	15
pptx	0	0	0	3	6	0	0	0	16	0	0	0	8	0	17	0	0	9	2	8	9	0	0	16	0	0	0	0	1	0
rtf	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	79	1	0	0	0	5	2	0	0
sql	6	0	2	0	0	0	16	0	0	5	4	2	0	0	0	6	0	0	0	0	0	1	38	0	0	10	10	5	0	0
swf	0	0	1	0	7	0	0	1	15	0	0	0	8	0	28	0	3	4	3	2	5	0	0	22	0	0	0	0	2	0
tmp	2	0	0	0	0	6	4	0	0	3	16	1	0	2	0	26	0	0	0	0	0	5	9	0	19	4	4	1	0	0
troff	3	0	0	0	0	3	12	0	0	5	4	1	0	0	0	4	0	0	0	0	0	6	2	0	2	40	14	2	0	0
txt	4	2	0	0	0	11	18	1	0	8	6	1	0	0	0	4	0	0	0	0	0	0	2	0	2	2	27	7	1	0
unk	4	0	2	1	0	3	11	4	1	5	4	3	2	0	0	1	3	0	1	1	0	1	2	1	0	3	20	19	0	5
wp	0	0	8	0	0	0	7	0	1	3	2	0	0	0	0	0	0	0	2	0	0	3	2	2	0	2	12	4	47	5
xls	0	0	8	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	2	3	1	3	78
