True	csv	dbase3	doc	dwf	eps	f	fits	gif	hlp	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	81	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	1	30	5	0	2	0	0	1	0	1	0	9	0	1	0	1	1	3	0	1	3	1	2	2	3	3	1	0	0	30	1
dwf	0	0	0	32	0	0	0	8	0	0	2	0	21	0	12	2	2	1	15	0	0	1	9	0	0	0	0	0	0	0	0	0
eps	0	2	0	0	22	3	0	1	1	3	0	1	0	13	4	0	0	0	0	11	3	4	0	2	0	22	7	5	0	0	0	1
f	7	9	0	0	1	19	2	0	10	11	0	0	0	0	0	0	0	0	0	1	2	13	0	4	0	1	15	5	0	0	0	0
fits	1	11	1	2	0	0	38	8	1	0	0	0	1	0	2	0	2	1	0	1	0	4	1	0	0	0	0	16	0	1	6	0
gif	0	1	0	22	0	0	2	35	0	0	1	0	10	0	5	4	0	0	13	0	0	0	7	0	0	0	0	0	0	1	0	0
hlp	0	0	0	0	0	7	0	0	70	2	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	7	1	0	0	0	0
java	3	0	0	0	0	4	0	0	7	58	0	2	0	0	0	0	0	0	0	0	0	1	0	13	0	1	5	0	0	0	0	3
jpg	0	0	2	27	0	0	0	5	0	0	5	0	26	0	11	9	1	0	21	0	0	0	7	0	0	0	0	1	0	0	0	0
kml	3	0	0	0	0	0	0	0	1	0	0	87	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	6
kmz	0	0	0	21	0	0	0	3	0	0	0	0	32	0	10	5	0	0	23	0	0	0	4	0	0	0	0	1	0	0	0	0
log	4	7	0	0	0	2	0	0	1	2	0	3	0	26	1	0	0	0	0	0	2	4	0	18	0	13	4	3	0	0	0	8
pdf	0	4	0	22	0	0	0	3	0	0	2	3	11	3	22	0	1	0	10	3	0	0	4	2	0	7	1	0	0	0	0	0
png	0	0	0	34	0	0	0	9	0	0	1	0	13	0	8	6	0	0	18	0	0	0	4	0	0	0	0	0	0	1	0	0
pps	0	0	1	25	0	0	1	2	1	0	3	0	16	0	13	5	2	4	18	0	0	0	3	0	0	0	0	0	1	2	8	0
ppt	0	0	9	17	0	1	1	6	1	0	0	0	10	0	8	3	0	1	17	0	0	0	3	0	1	1	0	0	1	3	18	0
pptx	0	0	1	25	0	0	0	7	0	0	1	0	18	1	6	3	0	0	25	0	0	0	6	0	1	0	0	0	0	5	0	0
ps	4	3	0	0	8	2	1	0	0	1	0	1	0	5	4	0	0	0	0	33	4	1	0	3	0	18	3	2	0	0	0	3
rtf	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	6	70	1	0	8	0	2	1	2	0	0	0	0
sql	3	5	0	0	0	4	0	0	6	1	0	0	0	2	0	0	0	0	1	0	0	43	0	10	0	3	10	8	0	0	2	3
swf	0	0	2	18	0	0	1	5	0	0	1	0	21	0	11	4	1	1	14	0	0	0	14	0	2	0	0	0	0	2	1	0
tex	7	0	0	0	0	0	0	0	9	0	0	2	0	3	0	0	0	0	0	0	2	5	0	60	0	2	3	3	0	0	0	0
text	3	2	7	2	0	4	1	5	8	0	0	3	3	0	6	4	0	0	7	0	3	6	1	4	1	3	11	10	1	0	8	0
tmp	3	2	0	0	0	6	0	0	0	3	0	4	0	13	0	0	0	0	0	0	1	12	0	5	0	36	5	2	0	0	0	6
troff	8	4	0	0	0	5	0	0	7	4	0	0	0	2	0	0	0	0	0	0	1	13	0	2	0	2	46	2	0	0	0	0
txt	10	7	0	0	0	10	0	0	20	5	0	1	0	2	0	0	0	0	0	0	0	11	0	6	0	1	7	28	1	0	0	0
unk	3	10	3	0	0	8	4	2	7	5	0	0	0	0	1	0	1	0	1	0	3	10	0	12	2	0	14	3	4	0	2	3
wp	0	1	2	0	0	6	1	0	4	0	0	0	0	1	0	0	0	1	0	0	1	6	1	3	4	1	3	7	0	46	7	0
xls	0	1	5	0	0	3	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	5	3	0	4	76	0
xml	2	0	0	0	0	1	0	0	3	2	0	16	0	1	0	0	0	0	0	1	2	2	0	15	0	6	4	0	0	0	0	38
