True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	unk	wp	xls	xml
csv	80	2	0	0	0	0	2	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	4	0	0	0	3	5	0	0	0	1
dbase3	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
doc	0	0	25	1	5	1	2	1	0	2	1	0	4	0	1	0	1	1	3	2	2	0	1	1	1	3	2	0	0	4	2	26	1
docx	0	0	1	26	17	0	0	0	3	16	0	0	14	0	6	0	0	3	0	0	6	0	0	0	1	0	0	0	0	0	1	7	0
dwf	0	0	0	5	25	0	0	1	10	13	0	0	18	0	12	0	0	5	1	1	6	0	0	0	1	0	0	0	0	0	3	0	0
eps	0	0	0	0	0	52	0	1	0	0	0	4	0	1	0	2	0	0	0	0	0	34	2	1	0	0	1	1	1	0	0	1	1
f	0	1	2	0	0	1	40	3	0	0	3	9	0	0	0	11	0	0	0	0	0	1	0	4	0	0	3	5	2	12	0	0	1
fits	0	0	0	0	5	1	1	59	8	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	6	2	7	0
gif	0	0	1	2	13	0	0	0	47	9	0	0	7	0	6	0	0	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
gz	0	0	0	5	19	0	0	0	8	30	0	0	17	0	10	0	0	6	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
html	0	0	2	0	0	0	6	0	0	0	24	6	0	5	0	21	0	0	0	0	0	0	1	2	0	2	0	1	2	7	3	1	11
java	0	0	0	0	0	1	2	0	0	0	2	82	0	1	0	4	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	3
jpg	0	0	0	9	29	0	0	1	5	19	0	0	22	0	9	0	0	4	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	3	0	0	78	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10
kmz	0	0	0	15	21	0	0	0	10	20	0	0	10	0	21	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
log	0	1	0	0	0	2	6	0	0	0	0	5	0	2	0	51	0	0	0	0	0	7	0	1	0	1	0	9	5	1	0	0	5
pdf	0	0	0	6	13	4	0	1	5	16	0	0	10	3	7	5	12	2	0	0	6	11	0	0	0	0	0	0	0	0	0	0	1
png	0	0	0	10	19	0	0	0	9	17	0	0	12	0	15	0	0	12	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
pps	0	0	4	5	10	0	0	1	6	21	0	0	17	0	10	0	0	7	1	1	7	0	0	0	2	0	1	0	0	0	2	6	0
ppt	1	0	10	4	20	1	0	0	3	12	0	0	12	0	8	0	0	5	0	8	5	0	0	0	0	0	0	0	0	0	6	11	0
pptx	0	0	0	8	15	0	0	1	12	24	0	0	11	0	10	0	0	5	1	2	7	0	0	0	0	0	0	0	0	0	3	0	0
ps	0	0	0	0	0	26	0	0	0	1	0	3	1	1	0	4	2	0	0	0	0	57	2	0	0	0	0	2	0	0	0	0	0
rtf	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80	1	0	0	2	0	1	6	0	0	0
sql	0	1	0	0	0	3	13	0	0	0	1	9	0	0	0	5	0	0	2	0	0	1	0	31	0	2	0	3	5	12	0	6	4
swf	0	1	0	5	19	0	0	0	14	11	0	0	15	0	10	0	0	7	1	2	4	0	0	0	6	0	2	0	0	3	0	2	0
tex	0	0	2	0	0	0	9	0	0	0	4	9	0	1	0	4	0	0	0	0	0	0	3	1	0	50	0	1	0	6	0	0	9
text	1	0	5	2	2	8	17	2	1	5	1	1	3	1	4	0	1	2	1	0	1	1	3	2	0	3	12	5	4	6	1	5	0
tmp	1	0	0	0	0	2	2	0	0	0	2	1	0	9	0	24	3	0	0	0	0	5	2	4	0	1	1	27	2	0	0	7	2
troff	6	0	2	0	0	1	10	2	0	0	2	6	0	0	0	5	0	0	0	0	0	8	1	3	0	1	2	1	40	9	0	0	0
unk	2	0	4	0	1	0	12	4	0	0	1	16	3	0	0	4	0	2	0	1	0	3	1	1	1	0	2	4	3	41	1	3	4
wp	0	0	3	0	0	0	2	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	2	1	0	1	3	0	0	9	66	4	0
xls	0	0	10	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	1	0	1	1	1	2	0	2	2	4	62	0
xml	0	0	0	0	0	0	3	0	0	0	5	5	0	13	0	12	0	0	0	0	0	3	3	0	0	1	0	1	0	2	1	0	53
