True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	70	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	6	1	0	0	0	1	0	3	0	3	0	3	2	0	2	0	0	0
dbase3	0	102	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	25	1	1	0	0	1	2	7	0	2	3	3	0	0	0	0	0	11	2	0	3	0	0	1	1	0	1	0	6	7	21	0
docx	0	0	1	26	1	0	0	0	13	14	0	0	0	24	0	5	0	0	2	0	11	0	0	0	5	0	0	0	0	0	0	1	1	0
dwf	0	0	0	3	2	0	0	0	17	11	0	0	0	34	0	8	0	3	6	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0
eps	3	0	0	0	0	42	0	0	0	0	1	0	2	0	0	0	7	7	0	0	0	23	3	2	0	0	0	6	1	0	0	0	0	4
f	2	3	1	0	0	6	17	2	1	0	0	1	19	0	0	0	12	0	0	0	0	1	0	9	0	2	2	4	7	4	7	1	0	3
fits	0	0	0	2	0	0	1	67	8	1	0	0	0	3	0	2	1	0	1	1	1	0	0	0	4	0	0	0	0	0	4	1	3	0
gif	0	0	0	3	2	0	0	1	63	7	0	0	0	14	0	4	0	2	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
gz	0	0	0	1	0	0	0	0	15	22	0	0	0	32	0	6	0	2	8	2	9	0	0	0	2	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	7	0	0	0	65	1	6	0	0	0	1	0	0	0	0	0	3	2	0	1	0	1	1	0	8	2	0	2
html	0	0	0	0	0	0	2	2	0	0	1	18	4	0	7	0	12	5	0	0	0	0	4	1	0	3	1	1	0	1	11	0	0	27
java	0	0	0	0	0	2	1	0	0	0	0	5	69	0	0	0	10	0	0	0	0	0	0	3	0	4	0	0	0	0	4	0	0	6
jpg	0	0	0	3	2	0	0	1	14	15	0	0	0	37	0	8	0	1	6	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	1	0	0	76	0	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12
kmz	0	0	1	6	1	0	0	0	13	18	0	0	0	34	0	7	0	1	2	1	13	0	0	0	2	0	0	0	0	0	0	0	0	0
log	0	0	0	0	0	2	3	2	0	0	0	3	3	0	1	0	51	1	0	0	0	3	1	6	0	6	0	5	3	1	2	1	0	7
pdf	0	0	0	2	1	3	0	2	15	7	0	0	0	27	1	2	0	19	4	0	8	5	0	0	0	0	0	0	0	0	0	0	0	1
png	0	0	0	3	1	0	0	0	19	12	0	0	0	33	0	7	0	1	10	0	9	0	0	0	2	0	1	0	0	0	0	2	0	0
ppt	0	0	6	0	0	0	1	1	9	16	0	0	0	12	0	8	0	0	3	14	16	1	0	0	3	0	1	0	0	0	0	5	3	0
pptx	0	0	1	4	2	0	0	0	13	18	0	0	0	27	0	5	0	0	5	1	17	0	0	0	4	0	0	0	0	0	0	2	0	0
ps	0	0	0	0	0	18	0	0	0	0	0	1	6	0	0	0	6	3	0	0	0	48	3	1	0	1	0	4	4	0	0	0	0	1
rtf	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	77	0	0	1	0	1	0	2	3	5	0	0
sql	0	0	3	0	0	1	6	3	0	0	3	0	10	0	0	0	6	0	0	0	0	0	0	43	0	2	1	5	5	0	0	4	0	7
swf	0	0	1	4	2	0	0	0	16	15	0	0	0	27	0	5	0	0	7	0	9	0	0	0	10	0	0	0	0	0	0	0	1	0
tex	2	0	0	0	0	0	1	0	0	0	0	3	9	0	1	0	14	0	0	0	0	1	8	4	0	35	0	0	2	2	4	0	0	13
text	2	2	11	0	0	5	0	1	8	2	1	1	0	8	2	1	1	1	1	4	2	6	4	4	3	1	4	0	5	2	6	11	3	1
tmp	0	0	0	0	0	7	5	0	0	0	0	2	4	0	4	0	25	2	0	0	0	1	2	6	0	0	2	33	0	2	1	1	0	4
troff	7	0	0	0	0	2	7	3	0	0	2	4	4	0	0	0	2	0	0	0	0	5	3	7	0	3	3	2	41	0	4	2	0	3
txt	4	5	0	0	0	7	5	5	0	0	3	3	0	0	1	0	7	0	0	0	0	2	1	4	0	2	5	6	8	11	20	3	0	3
unk	0	4	4	0	1	1	11	9	1	0	0	1	8	5	0	0	4	0	0	1	2	0	5	3	1	0	3	1	4	3	12	6	2	9
wp	0	1	0	0	0	1	1	0	0	0	1	3	1	0	0	1	1	0	0	0	0	0	2	0	2	5	2	0	1	0	8	64	2	3
xls	0	0	5	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	8	1	1	2	0	0	0	2	0	2	0	1	10	66	0
xml	1	0	0	0	0	0	0	0	0	0	1	5	5	0	13	0	2	1	0	0	0	0	4	0	0	1	0	0	1	0	2	2	0	55
