True	csv	eps	f	gz	html	jpg	kmz	log	png	tex	text	unk	wp	xml
csv	74	3	9	0	2	0	0	2	0	3	1	3	0	2
eps	0	91	0	1	0	0	0	7	0	1	3	0	2	1
f	3	5	62	0	2	0	2	13	0	6	2	10	0	0
gz	0	0	0	41	0	18	15	0	17	0	4	0	1	0
html	1	0	7	0	21	0	0	10	0	18	1	13	0	34
jpg	0	0	0	34	0	31	14	0	16	0	3	1	2	1
kmz	0	0	0	29	0	24	27	0	10	0	2	0	0	0
log	0	6	16	0	3	0	0	56	0	20	0	0	0	3
png	0	0	0	26	0	33	17	0	21	0	1	0	2	0
tex	0	0	15	0	0	0	0	8	0	59	4	0	0	4
text	1	6	18	3	0	6	4	4	5	10	19	16	7	0
unk	0	5	31	1	0	1	2	3	1	14	11	31	5	2
wp	0	0	6	0	0	0	1	2	0	14	3	15	61	0
xml	1	1	4	0	4	0	0	7	0	23	0	2	0	51
