True	doc	f	gz	hlp	java	kmz	log	pdf	ppt	ps	rtf	swf	troff	unk	wp
doc	65	3	8	1	0	5	2	1	3	0	0	1	0	13	4
f	1	35	0	4	12	0	9	1	0	2	0	0	16	12	2
gz	0	0	40	0	0	35	0	1	15	0	0	19	0	0	0
hlp	0	17	0	58	8	0	3	0	0	0	1	0	5	11	1
java	0	0	0	1	86	0	8	0	0	0	0	0	1	4	1
kmz	1	0	26	0	0	42	0	6	9	0	0	19	0	0	1
log	1	4	0	0	7	0	62	3	0	2	2	0	7	4	0
pdf	0	0	13	0	0	18	3	38	6	6	0	18	0	0	0
ppt	14	0	16	0	0	16	0	3	26	0	0	13	0	1	2
ps	0	3	0	0	1	0	10	7	0	66	7	0	3	0	0
rtf	1	0	0	0	0	0	2	1	0	4	86	0	1	6	1
swf	2	0	19	0	0	23	0	8	9	0	0	33	0	0	5
troff	4	7	0	3	3	0	10	0	0	6	0	0	59	7	0
unk	13	13	0	6	17	0	8	2	0	2	4	0	9	35	2
wp	8	2	0	0	0	0	2	0	0	0	0	0	2	11	63
