True	doc	dwf	f	fits	gif	gz	hlp	html	pdf	pps	rtf	sql	text	troff	unk	wp	xml
doc	54	1	0	0	2	8	0	1	2	12	1	3	5	1	2	4	0
dwf	0	18	0	1	21	47	0	0	8	7	0	0	0	0	2	0	0
f	3	0	37	4	0	0	1	3	0	0	2	3	6	21	10	1	2
fits	5	3	1	58	7	6	2	0	5	2	0	0	2	2	5	0	0
gif	0	7	0	2	51	16	0	0	8	5	0	0	0	0	0	0	0
gz	0	14	0	0	17	51	0	0	11	10	0	0	0	0	0	0	0
hlp	0	0	11	4	0	0	70	0	0	0	2	4	2	1	7	2	2
html	1	0	5	0	0	0	2	34	1	0	6	1	16	1	10	2	22
pdf	0	16	0	2	6	32	0	5	37	2	4	0	2	1	0	0	0
pps	10	14	0	3	17	31	0	0	6	9	0	1	0	1	0	3	0
rtf	1	0	0	0	0	0	1	2	0	1	83	0	9	1	1	0	3
sql	3	1	6	1	0	0	4	6	1	0	0	50	2	10	5	0	7
text	10	2	7	1	6	8	2	0	9	10	1	3	19	7	15	4	0
troff	0	0	14	0	0	0	3	10	4	0	2	10	9	46	8	0	7
unk	5	0	8	2	3	5	5	5	2	5	4	1	19	5	21	4	4
wp	6	0	1	1	1	1	0	1	0	4	2	0	11	3	4	61	0
xml	0	0	2	0	0	0	0	17	1	0	6	3	3	0	5	1	62
