True	doc	dwf	f	fits	html	java	kml	log	pdf	pps	ps	rtf	swf	text	txt	unk	xls	xml
doc	45	7	1	0	2	2	0	1	1	4	0	6	4	7	1	2	11	1
dwf	0	45	0	0	0	0	0	0	8	15	0	0	29	0	0	1	0	0
f	0	0	50	2	3	4	0	6	0	0	1	2	0	1	15	10	0	0
fits	5	2	3	66	0	0	0	0	2	8	2	1	3	2	1	2	1	0
html	1	0	5	4	52	3	13	6	2	0	1	2	0	1	3	7	0	8
java	0	0	12	0	17	69	1	2	0	0	2	0	0	0	1	2	0	2
kml	0	0	0	0	6	0	72	0	0	0	0	1	0	0	7	1	0	4
log	2	0	9	0	6	3	9	59	1	0	3	3	0	0	3	0	0	4
pdf	0	26	1	4	0	0	0	0	28	15	4	0	14	0	0	1	0	2
pps	8	29	0	0	0	0	0	0	5	19	0	1	21	1	0	1	16	0
ps	0	1	3	0	4	0	1	3	3	0	74	9	0	2	1	1	0	0
rtf	0	0	0	0	2	0	0	2	0	0	5	85	0	2	3	2	1	0
swf	1	28	0	0	0	0	0	0	4	23	0	0	37	0	0	0	5	0
text	14	6	11	3	4	0	1	1	6	7	2	9	4	9	12	13	5	1
txt	3	0	18	5	5	2	5	2	2	0	1	6	0	19	24	8	0	0
unk	4	0	11	7	11	8	0	4	1	5	1	13	0	2	10	14	2	0
xls	25	1	1	1	0	0	0	0	1	0	1	3	1	2	0	0	68	0
xml	0	0	2	0	19	6	7	0	0	0	0	4	0	2	0	4	0	59
