True	dbase3	doc	docx	f	fits	gz	hlp	java	jpg	kml	log	png	pps	rtf	sql	swf	tex	txt	wp
dbase3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	62	3	1	3	1	2	1	0	1	3	2	1	1	1	12	3	3	4
docx	0	7	35	0	0	8	0	0	4	0	0	7	2	0	0	37	0	0	1
f	3	0	0	38	2	0	6	16	0	2	2	0	0	6	6	0	10	5	0
fits	3	5	6	3	63	1	0	0	2	1	1	1	2	0	2	12	0	1	0
gz	0	0	23	0	0	21	0	0	2	0	0	7	7	0	0	39	0	0	0
hlp	0	0	0	5	0	0	79	9	0	0	0	0	0	2	2	0	4	2	1
java	0	0	0	3	0	0	0	77	0	3	2	0	0	0	2	0	7	0	0
jpg	0	1	16	0	0	12	0	0	15	0	0	7	7	0	0	46	0	0	0
kml	0	0	0	0	1	0	0	0	0	83	1	0	0	0	0	0	2	9	0
log	0	0	0	11	1	0	1	4	0	3	48	0	0	5	9	0	9	5	0
png	0	0	19	0	1	12	0	0	9	0	0	11	1	0	0	51	0	0	0
pps	0	11	19	0	4	8	0	0	4	0	0	8	5	0	0	43	0	0	4
rtf	0	1	0	0	0	0	0	0	0	0	2	0	0	79	0	0	5	1	2
sql	0	3	0	8	0	0	5	18	0	1	1	0	0	2	52	0	9	2	1
swf	0	1	24	0	2	4	0	0	4	0	0	13	1	0	0	43	0	0	1
tex	0	1	0	1	0	0	2	5	0	2	7	0	0	8	2	0	73	6	0
txt	6	2	0	8	6	0	8	6	0	1	2	0	0	2	7	0	14	38	2
wp	0	7	0	1	2	0	2	1	0	0	0	0	0	6	1	5	5	2	67
