True	csv	doc	dwf	eps	gz	hlp	java	kml	kmz	log	pdf	png	pps	pptx	rtf	sql	tex	text	tmp	xml
csv	84	0	0	0	0	2	0	3	0	3	0	0	0	0	0	4	0	1	4	1
doc	1	59	3	1	12	6	0	0	1	1	0	2	9	0	1	1	0	7	1	0
dwf	0	0	17	0	24	0	0	0	15	0	5	24	5	2	0	0	0	0	0	0
eps	1	2	0	63	1	2	3	4	0	8	5	0	0	0	6	2	0	2	3	1
gz	0	0	17	0	35	0	0	0	14	0	4	24	8	2	0	0	0	0	0	0
hlp	1	0	0	1	0	80	2	0	0	0	0	0	0	0	0	6	0	6	0	5
java	0	0	0	1	0	6	76	2	0	0	0	0	0	0	0	4	0	0	0	10
kml	0	0	0	0	0	0	2	92	0	0	0	0	0	0	0	1	0	1	0	10
kmz	0	0	10	0	39	0	0	0	19	0	4	21	2	4	0	0	0	1	0	0
log	2	0	0	4	0	3	3	8	0	40	2	0	0	0	0	6	3	0	23	5
pdf	0	0	11	3	22	0	0	3	14	1	23	16	3	4	1	0	0	0	1	1
png	0	0	18	0	31	0	0	0	10	0	1	29	8	2	0	0	0	0	0	0
pps	0	10	5	0	25	3	0	0	9	1	4	16	17	4	0	1	0	3	0	1
pptx	0	0	23	0	30	0	0	0	9	0	7	18	14	3	0	1	0	0	0	0
rtf	0	1	0	0	0	2	0	1	0	0	0	0	1	0	81	0	2	0	1	11
sql	0	2	0	0	0	9	5	0	0	4	4	0	0	0	0	55	2	6	0	13
tex	0	0	0	0	0	14	1	4	0	6	0	0	0	0	4	6	27	2	8	29
text	0	13	2	6	7	15	0	0	2	4	4	6	5	3	0	10	0	12	7	6
tmp	0	0	0	8	0	2	1	1	0	25	2	0	0	0	0	7	1	0	41	6
xml	0	0	0	0	0	5	5	9	0	3	0	0	0	0	0	2	0	1	2	59
