True	csv	doc	eps	f	gif	gz	hlp	html	kml	png	pps	ppt	pptx	ps	rtf	sql	tex	text	unk	xls	xml
csv	85	0	1	0	0	0	0	5	2	0	0	0	0	0	1	1	1	1	0	0	1
doc	0	44	1	2	0	9	2	1	0	1	2	10	1	0	0	2	0	1	1	16	2
eps	1	0	58	2	1	0	1	1	1	0	0	0	0	18	5	5	1	3	0	0	4
f	3	1	2	48	0	0	2	5	0	0	2	0	0	1	2	10	16	8	3	0	2
gif	0	1	0	0	57	17	0	0	0	11	6	6	3	0	0	0	0	0	0	0	0
gz	0	0	0	0	14	54	0	0	0	13	15	2	5	0	0	0	0	0	0	0	0
hlp	0	0	0	16	0	0	66	1	0	0	0	0	0	0	0	10	5	2	1	0	2
html	2	0	0	2	0	0	1	18	6	0	0	0	0	0	3	6	11	7	2	0	42
kml	3	0	0	0	0	0	0	5	80	0	0	0	0	0	0	2	0	0	0	0	7
png	0	0	0	0	15	37	0	0	0	21	7	10	5	0	0	0	0	0	0	0	0
pps	0	4	0	0	9	30	1	0	0	16	9	16	7	0	0	0	0	2	0	7	0
ppt	0	12	0	0	10	28	0	1	0	13	8	21	6	0	2	0	0	0	1	3	0
pptx	0	2	0	0	6	33	0	1	0	24	8	9	8	0	0	2	0	0	0	0	1
ps	1	0	21	4	0	0	0	2	3	0	0	0	0	48	12	0	3	2	0	0	3
rtf	0	0	1	0	0	0	1	1	0	0	0	0	0	6	84	2	7	0	0	0	1
sql	2	5	1	11	0	0	1	4	0	0	0	0	0	0	0	56	6	0	0	0	12
tex	1	0	0	5	0	0	2	1	4	0	0	0	0	0	4	9	60	0	1	0	12
text	2	6	0	6	3	9	6	3	0	8	4	9	0	1	3	16	5	11	3	1	3
unk	2	9	0	14	1	2	3	6	1	1	4	5	2	1	2	15	9	10	10	2	4
xls	0	31	1	1	1	1	0	0	0	0	2	8	0	0	0	1	0	2	1	52	1
xml	1	0	0	4	0	0	3	5	10	0	0	0	0	0	2	4	8	2	1	0	59
