True	csv	dbase3	doc	dwf	eps	f	gif	gz	hlp	html	jpg	kmz	log	pptx	ps	rtf	sql	tex	tmp	wp	xls	xml
csv	80	1	0	0	0	1	0	0	0	2	0	0	4	0	1	0	5	1	1	1	0	0
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	39	4	1	0	0	2	1	2	3	3	0	1	2	4	2	2	0	9	25	0
dwf	0	0	0	30	0	0	10	15	0	0	11	26	0	10	0	0	0	0	0	1	0	0
eps	1	0	0	0	43	0	0	1	0	0	0	0	1	0	45	4	0	0	5	0	0	1
f	3	2	1	0	8	43	0	0	3	4	0	0	6	0	3	5	13	3	2	4	0	2
gif	0	0	0	18	0	0	48	8	0	0	7	11	0	8	0	0	0	0	0	0	0	0
gz	0	0	0	32	0	0	7	21	0	0	12	15	0	12	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	11	0	0	69	4	0	0	0	0	0	1	4	3	0	5	0	0
html	1	2	0	0	5	6	0	0	5	12	0	0	4	0	4	10	2	8	2	6	0	33
jpg	0	0	0	25	0	0	11	15	0	0	26	14	0	10	0	0	0	0	0	1	0	2
kmz	0	0	2	22	0	0	9	17	0	0	14	28	0	8	0	0	0	0	0	1	0	0
log	0	4	0	0	7	9	0	0	0	6	0	0	34	0	19	3	2	0	5	0	0	12
pptx	0	0	2	22	0	0	13	14	0	0	14	19	0	13	0	0	0	0	0	0	0	0
ps	1	0	0	1	19	1	0	0	0	0	0	1	4	0	68	6	0	0	1	0	0	0
rtf	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	84	0	1	0	5	0	1
sql	1	3	2	0	3	14	0	0	1	2	0	0	6	0	4	1	48	4	7	0	0	4
tex	0	1	0	0	2	3	0	0	0	1	0	0	4	0	4	8	3	54	3	3	0	9
tmp	0	0	0	0	11	9	0	0	3	0	0	0	9	0	17	5	7	2	38	0	0	3
wp	0	1	6	1	0	0	2	0	0	2	0	0	0	0	3	6	1	0	0	77	4	0
xls	0	0	11	1	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	3	79	2
xml	0	0	0	0	3	9	0	0	0	7	0	0	4	0	0	8	1	2	1	4	0	60
