True	csv	f	kml	pdf	png	pps	ppt	rtf	sql	tex	troff	unk	wp	zip
csv	90	1	2	0	0	0	0	0	2	4	2	1	0	0
f	5	60	0	0	0	0	0	1	8	3	11	4	7	0
kml	2	0	96	0	0	0	0	0	0	8	0	0	0	0
pdf	0	0	5	31	13	0	3	1	0	1	0	2	1	45
png	0	0	0	9	29	0	4	0	0	0	0	0	0	64
pps	0	0	0	8	8	5	13	0	0	0	0	0	5	58
ppt	0	0	0	7	18	6	15	1	0	0	0	0	9	50
rtf	0	0	1	0	0	0	0	79	0	8	2	0	3	0
sql	4	14	0	0	0	0	0	0	53	2	14	8	0	2
tex	2	5	0	0	0	0	0	2	3	78	0	4	6	0
troff	7	21	0	0	0	0	0	2	9	8	44	0	1	0
unk	4	28	0	1	4	2	10	0	3	18	1	13	20	4
wp	0	11	0	2	1	2	1	0	0	4	1	2	75	0
zip	0	0	0	5	7	0	0	0	0	0	0	0	0	81
