True	doc	docx	eps	fits	hlp	kml	kmz	pps	ps	rtf	text	tmp	troff	txt	xls	zip
doc	41	1	0	0	0	1	3	3	0	5	5	0	2	8	29	7
docx	5	16	0	0	0	0	23	13	0	0	2	0	0	0	4	42
eps	0	0	41	1	2	0	0	0	49	7	1	1	0	2	0	0
fits	0	2	1	61	2	0	3	4	0	2	3	0	2	0	12	2
hlp	0	0	0	1	81	0	0	0	0	1	3	2	7	10	0	0
kml	0	0	0	3	0	83	0	0	1	0	2	5	3	3	0	0
kmz	0	0	0	0	0	0	48	8	0	0	0	0	0	0	0	38
pps	8	5	0	2	0	1	33	11	0	1	2	0	0	0	8	32
ps	0	0	9	1	0	0	2	0	73	4	0	2	1	0	0	4
rtf	0	0	0	0	1	0	0	0	11	83	0	2	0	2	0	0
text	4	0	3	7	4	1	9	5	6	8	11	2	3	26	3	15
tmp	3	0	2	0	5	5	0	0	16	8	1	41	8	7	2	0
troff	0	0	2	0	8	1	0	0	2	11	5	4	47	12	3	0
txt	0	0	7	12	7	0	0	0	11	6	5	8	11	32	0	0
xls	10	0	1	2	2	0	1	3	1	3	0	0	0	1	74	1
zip	0	4	0	0	0	0	28	3	0	0	0	0	0	0	0	62
