True	dbase3	fits	gif	gz	html	java	kml	log	pdf	png	ppt	ps	tex	tmp	unk	wp	zip
dbase3	94	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
fits	2	65	7	5	0	1	0	0	3	1	1	0	2	1	7	5	0
gif	0	0	68	12	0	0	0	0	10	2	0	0	0	0	0	0	1
gz	0	0	13	63	0	0	0	0	10	3	4	0	0	0	0	1	10
html	0	3	0	0	55	7	2	5	0	0	0	2	17	1	8	8	0
java	1	0	0	0	1	83	1	1	0	0	0	1	4	0	9	0	0
kml	0	0	0	0	8	1	93	0	0	0	0	1	1	2	0	0	0
log	1	0	0	0	11	9	0	40	1	0	0	15	8	4	11	2	0
pdf	0	3	21	26	3	0	1	1	25	5	1	7	0	0	0	0	4
png	0	0	28	31	0	0	0	0	18	11	1	0	0	0	0	0	11
ppt	0	2	17	31	0	1	1	0	14	3	27	1	0	0	1	10	2
ps	0	0	0	2	3	0	0	2	2	0	1	84	1	1	0	1	1
tex	0	0	0	0	1	3	1	5	0	0	0	3	63	5	7	5	0
tmp	0	0	0	1	5	3	4	18	1	0	1	14	5	34	6	4	0
unk	0	5	1	1	5	10	2	0	2	1	4	4	5	1	37	18	0
wp	0	3	3	0	0	0	0	0	0	0	6	1	2	0	7	75	0
zip	0	0	17	51	0	0	0	0	15	6	3	0	0	0	0	0	12
