True	doc	docx	gz	hlp	html	java	kml	kmz	ppt	pptx	rtf	sql	text	tmp	troff	txt	xls	xml
doc	32	1	3	0	2	0	0	0	5	8	4	0	1	0	0	10	30	1
docx	0	11	14	0	0	0	0	13	8	48	0	0	0	2	0	0	4	0
gz	0	4	25	0	0	0	0	10	5	55	0	0	0	0	0	0	0	0
hlp	0	0	0	54	0	8	0	0	0	0	3	12	0	1	8	11	0	0
html	0	0	0	2	42	7	9	0	0	0	9	4	0	1	11	5	0	10
java	0	0	0	0	8	69	1	0	0	0	3	6	0	0	6	3	1	2
kml	0	0	0	0	3	0	86	0	0	0	0	1	1	2	2	2	0	7
kmz	0	10	17	0	0	0	0	19	6	44	0	0	1	0	0	0	0	0
ppt	2	3	12	0	0	0	1	7	21	31	0	0	5	3	0	0	18	0
pptx	0	7	19	0	0	0	0	9	9	54	0	0	0	0	0	0	0	0
rtf	0	0	0	0	1	1	0	0	1	1	91	0	1	1	3	3	0	1
sql	0	0	0	1	3	11	0	0	0	0	1	60	1	9	16	0	0	0
text	8	3	2	1	1	3	0	1	5	16	9	5	10	5	6	22	8	0
tmp	0	0	0	0	19	3	0	0	0	0	4	7	0	43	6	13	2	2
troff	0	0	0	1	5	7	0	0	0	0	2	3	5	5	63	5	0	0
txt	0	0	0	6	2	4	5	0	0	0	8	1	6	2	18	50	0	1
xls	5	0	0	0	0	0	0	0	2	4	2	1	1	2	4	3	73	0
xml	0	0	0	0	21	3	17	0	0	0	13	2	0	4	1	7	0	32
