True	csv	dbase3	doc	eps	fits	gif	kmz	log	pdf	pptx	ps	swf	tex	text	troff	unk	xls	xml	zip
csv	83	0	0	0	2	0	0	1	0	0	0	0	1	3	1	4	0	2	0
dbase3	0	97	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
doc	0	0	26	0	1	0	0	3	1	0	0	1	1	3	1	12	41	0	10
eps	2	0	0	62	0	0	0	1	1	0	20	0	0	4	2	3	1	1	0
fits	0	2	0	2	67	7	0	0	2	3	0	3	0	3	0	7	5	0	1
gif	0	0	1	0	0	50	4	0	1	5	0	12	0	1	0	1	0	0	23
kmz	0	0	0	0	0	17	23	0	3	8	0	5	0	0	0	0	0	0	42
log	3	0	0	7	0	0	0	67	0	0	2	0	3	1	4	3	0	7	0
pdf	0	0	0	4	1	12	5	1	11	11	15	8	0	0	0	0	2	3	29
pptx	0	0	3	0	0	16	4	0	2	19	0	9	0	2	0	2	2	0	46
ps	2	1	0	43	0	1	0	5	0	0	39	1	4	3	3	0	0	0	0
swf	0	0	3	0	1	15	5	0	3	13	0	21	0	0	0	0	6	0	35
tex	0	0	1	0	0	0	0	14	0	0	0	0	57	3	2	20	0	3	0
text	7	0	2	2	3	4	1	7	2	4	2	5	2	13	3	19	9	0	11
troff	6	2	0	0	0	0	0	10	0	0	0	0	3	7	49	17	2	0	0
unk	3	3	2	0	3	2	1	8	1	1	1	2	3	7	3	53	8	1	2
xls	0	0	3	1	1	0	0	2	0	0	0	0	0	0	2	3	87	0	0
xml	2	0	2	0	0	0	0	18	0	0	1	0	4	1	0	12	0	61	0
zip	0	0	0	0	0	10	3	0	1	12	0	5	0	0	0	0	0	0	73
