True	csv	doc	eps	f	fits	gif	gz	hlp	java	jpg	kml	kmz	pdf	png	ppt	ps	swf	tex	text	txt	unk	xml
csv	68	0	3	6	0	0	0	0	0	0	2	0	1	0	0	1	0	4	0	5	2	0
doc	0	55	0	1	0	3	5	1	0	0	0	2	0	4	6	0	3	4	1	7	7	0
eps	0	0	64	0	1	1	0	0	0	0	0	0	2	0	2	22	1	0	0	5	1	1
f	4	0	5	42	1	0	0	3	4	0	0	0	0	0	1	1	0	4	2	22	12	0
fits	0	10	2	1	62	4	1	2	0	1	0	1	1	4	3	0	3	1	0	2	2	0
gif	0	0	0	0	0	66	12	0	0	9	0	1	5	10	2	0	1	0	0	0	0	0
gz	0	0	0	0	0	12	35	0	0	19	0	11	1	20	2	0	3	0	0	0	0	0
hlp	0	0	0	4	0	0	0	77	8	0	0	0	0	0	0	0	0	1	0	4	5	0
java	3	0	0	6	0	0	0	4	74	0	0	0	0	0	0	1	0	10	2	1	0	3
jpg	0	0	0	0	1	19	25	0	0	26	0	5	6	17	3	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	2	3	0	9
kmz	0	2	0	0	0	7	19	0	0	30	0	17	5	19	2	0	0	0	0	0	0	0
pdf	0	1	3	0	1	14	19	0	0	11	2	3	18	19	0	8	4	0	1	0	0	0
png	0	0	0	0	0	17	23	0	0	23	0	3	5	25	0	0	4	0	0	0	0	0
ppt	0	8	0	0	0	10	22	0	0	16	0	3	5	13	19	0	1	0	0	1	0	0
ps	1	1	46	1	0	0	0	0	1	0	1	0	1	0	0	43	0	1	0	1	2	2
swf	0	2	0	0	0	13	21	0	0	15	0	2	4	17	4	0	20	0	0	0	0	0
tex	1	0	4	2	0	0	0	8	1	0	1	0	0	0	0	2	0	61	1	15	3	2
text	5	12	4	8	2	5	6	0	1	5	1	1	1	6	3	4	1	2	5	16	10	0
txt	10	1	3	15	4	0	0	7	1	0	1	0	0	0	0	2	0	5	14	28	8	0
unk	1	7	2	7	6	2	1	2	12	1	0	1	3	1	0	2	1	4	2	23	20	1
xml	0	2	4	1	0	0	0	1	5	0	16	0	1	0	0	1	0	11	1	2	9	42
