True	csv	dbase3	doc	dwf	f	fits	gz	html	java	kml	kmz	log	pdf	pps	pptx	rtf	swf	tex	text	tmp	unk	wp	xls
csv	72	0	0	0	2	2	0	4	2	0	0	1	0	0	0	3	0	0	2	5	0	1	0
dbase3	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
doc	0	0	46	5	1	0	5	1	0	0	1	1	0	1	5	2	0	0	1	3	1	12	18
dwf	0	0	0	32	0	0	15	0	0	0	4	0	2	6	22	0	16	0	0	0	0	1	0
f	1	1	0	0	31	0	0	4	23	0	0	5	0	0	0	3	0	5	4	13	4	10	0
fits	0	6	2	4	1	55	2	0	0	0	1	1	0	2	3	0	4	0	1	2	5	4	7
gz	0	0	1	33	0	0	35	0	0	0	10	0	3	5	8	0	9	0	0	0	0	0	0
html	5	0	0	0	1	1	0	50	5	5	0	4	2	0	0	4	0	11	1	1	1	5	0
java	1	0	0	0	2	0	0	1	87	0	0	2	0	0	0	0	0	4	0	4	2	0	0
kml	0	0	0	0	0	0	0	7	0	81	0	0	0	0	0	0	0	1	0	11	0	0	0
kmz	0	0	0	31	0	0	15	0	0	0	34	0	0	6	12	0	5	0	0	0	0	0	0
log	2	0	0	0	3	0	0	13	6	3	0	37	0	0	0	4	0	5	2	30	2	0	0
pdf	0	1	0	25	0	0	10	3	0	3	11	1	19	6	10	3	9	0	0	0	0	1	0
pps	0	0	5	20	0	2	11	0	0	0	13	0	1	7	20	1	9	0	0	0	0	2	11
pptx	0	0	2	25	0	0	16	0	0	0	8	0	2	6	21	3	11	0	1	0	0	2	1
rtf	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	81	0	3	0	1	0	6	0
swf	0	0	0	25	0	0	15	0	0	0	9	0	1	5	11	1	24	0	1	0	0	4	0
tex	1	0	0	0	3	0	0	5	6	1	0	7	0	0	0	7	0	43	2	16	0	8	0
text	7	0	7	8	9	3	3	0	8	0	4	4	1	3	5	4	1	1	14	7	4	9	4
tmp	1	0	4	0	0	0	0	5	0	0	0	12	2	0	0	6	0	2	1	65	0	0	1
unk	1	2	6	2	8	3	1	6	8	0	1	0	1	3	0	8	0	3	3	12	8	19	4
wp	0	0	2	0	2	0	0	2	0	0	0	0	0	0	1	3	4	2	0	1	0	74	8
xls	0	0	7	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	84
