True	csv	dbase3	docx	eps	f	gif	gz	html	java	jpg	kml	kmz	log	png	pptx	ps	rtf	sql	swf	text	tmp	txt	wp	zip
csv	74	1	0	1	2	0	0	6	0	0	1	0	9	0	0	1	0	3	0	1	0	1	0	0
dbase3	0	94	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0	0
docx	0	0	19	0	0	14	3	1	0	1	0	3	0	21	9	0	0	0	4	1	0	0	3	18
eps	0	0	0	56	0	2	0	2	2	0	0	0	5	1	0	29	1	2	0	0	2	0	1	0
f	3	1	0	2	36	0	0	2	9	0	0	0	6	0	0	3	1	9	1	1	3	4	23	0
gif	0	0	4	0	0	63	0	0	0	0	0	6	0	11	2	0	0	0	1	0	0	0	0	9
gz	0	0	4	0	0	11	21	0	0	1	0	13	0	19	9	0	0	0	3	0	0	0	0	28
html	2	0	0	1	1	0	0	36	11	0	5	0	12	0	0	0	2	4	0	0	4	3	13	0
java	0	0	0	0	5	0	0	3	67	0	0	0	5	0	0	0	0	11	0	0	0	3	5	0
jpg	0	2	2	0	0	17	5	0	0	1	0	11	0	15	6	0	0	0	7	3	0	0	0	30
kml	0	0	0	1	0	0	0	4	2	0	71	0	8	0	0	0	0	1	0	0	1	1	1	0
kmz	0	0	6	0	0	11	9	0	0	0	0	23	0	14	3	0	0	1	3	0	0	0	0	37
log	1	0	0	5	3	0	0	5	3	0	1	0	57	0	0	3	2	12	0	0	8	1	3	0
png	0	0	4	0	0	19	2	0	0	2	0	11	0	19	11	0	0	0	7	1	0	0	1	21
pptx	0	0	6	0	0	16	8	0	0	4	0	10	0	14	13	0	0	0	3	0	0	0	3	22
ps	2	0	0	32	1	0	0	1	1	0	0	0	7	0	0	45	4	0	0	0	1	2	1	1
rtf	0	0	0	3	0	1	0	0	0	0	0	0	1	0	1	4	85	0	0	0	1	0	11	0
sql	1	4	1	1	5	0	0	3	3	0	0	0	3	0	0	1	0	65	0	2	1	0	7	0
swf	0	0	4	0	0	14	3	0	0	0	0	6	0	15	2	0	0	0	14	0	0	0	7	26
text	1	0	9	2	4	6	1	2	0	0	0	2	4	5	2	2	1	1	3	12	5	10	23	3
tmp	1	6	5	7	1	0	0	6	4	0	2	0	20	0	0	1	1	12	0	0	28	5	5	0
txt	5	2	0	2	3	0	0	0	1	0	1	0	7	0	0	1	2	3	0	3	6	27	39	0
wp	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	94	0
zip	0	0	3	0	0	13	1	0	0	1	0	7	0	17	9	0	0	0	1	0	0	0	0	49
