True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	html	java	jpg	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	unk	wp	xls	xml	zip
csv	80	0	1	0	0	2	2	0	0	3	0	0	5	0	0	0	0	0	0	0	3	0	2	0	1	0	0
dbase3	0	92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
doc	0	0	19	0	0	0	0	1	0	2	0	2	3	0	1	2	7	0	0	2	1	1	14	4	31	0	5
docx	0	0	2	8	2	0	0	0	7	0	0	7	0	0	3	23	1	2	0	0	0	9	0	0	6	0	30
dwf	0	0	0	0	5	0	0	0	7	0	0	9	0	0	5	19	2	1	0	0	0	14	0	1	0	0	37
eps	0	1	0	0	0	60	1	0	0	0	1	0	3	2	0	0	0	0	18	1	0	1	2	0	2	3	0
f	1	0	2	0	0	2	40	5	0	3	9	0	8	0	0	0	0	0	0	0	12	0	16	2	1	0	0
fits	0	0	0	0	2	1	4	66	0	0	0	1	1	0	0	3	0	0	0	2	0	5	3	2	11	1	1
gif	0	0	1	1	2	0	0	0	49	0	0	3	0	0	2	8	0	0	0	0	0	18	0	0	0	0	16
html	2	0	1	0	0	1	5	0	0	37	4	0	3	0	0	0	0	0	0	5	1	0	19	2	0	21	0
java	0	0	0	0	0	4	5	1	0	0	76	0	2	0	0	0	0	0	0	3	2	0	6	0	0	6	0
jpg	0	0	1	3	5	0	0	1	12	0	0	13	0	0	4	23	0	3	0	0	0	11	0	1	1	0	26
log	0	0	0	0	0	9	10	2	0	3	5	0	56	0	0	0	0	0	1	2	5	0	3	0	0	6	0
pdf	0	0	0	0	4	9	0	1	4	4	0	4	2	13	2	17	0	3	2	0	0	8	0	0	0	2	22
png	0	0	0	2	5	0	0	0	13	0	0	5	0	0	13	22	1	2	0	1	0	14	0	1	0	0	26
pps	0	0	1	2	4	0	0	0	4	0	0	11	0	0	2	19	12	1	0	0	0	7	3	5	6	0	22
ppt	0	0	2	1	3	0	0	0	3	0	0	7	0	0	2	24	9	1	0	1	0	5	0	3	17	0	27
pptx	0	0	0	8	1	0	0	0	4	0	0	9	0	0	6	30	2	4	0	0	0	8	0	3	2	0	21
ps	3	0	0	0	0	28	1	0	0	3	0	2	5	0	0	1	0	0	45	8	0	0	2	1	0	1	0
rtf	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	82	3	0	8	0	0	0	0
sql	3	0	2	0	0	0	11	0	0	4	10	0	4	0	0	0	0	0	2	0	58	0	3	0	0	4	0
swf	0	0	1	1	1	0	0	0	4	0	0	13	0	0	1	24	0	1	0	0	0	14	0	5	1	0	32
unk	1	0	2	0	0	2	13	10	3	3	8	0	1	1	0	2	1	1	1	3	2	1	38	3	4	0	0
wp	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	5	0	0	0	2	0	2	18	62	8	0	0
xls	0	1	4	0	0	1	2	0	2	0	2	0	0	0	0	0	3	0	0	0	0	2	0	6	81	0	1
xml	0	0	0	0	0	1	5	0	0	8	1	0	14	0	0	0	0	0	0	10	1	0	8	0	0	46	0
zip	0	0	0	2	5	0	0	0	4	0	0	11	0	0	6	34	1	2	0	0	0	8	0	0	0	0	23
