True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	jpg	kml	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	tex	tmp	troff	txt	unk	xml	zip
csv	83	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	1	0	0	1	0	1	0
dbase3	0	91	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
docx	0	0	24	1	0	0	0	13	7	0	1	0	8	0	12	0	0	29	0	0	0	0	0	0	0	0	0	3
dwf	0	0	9	2	0	0	2	15	9	0	9	0	5	0	17	0	0	25	0	0	0	0	0	0	0	0	0	4
eps	0	0	0	0	46	1	0	2	0	0	0	0	0	4	0	0	0	0	18	5	3	2	7	1	4	3	7	0
f	1	1	0	0	1	29	3	0	0	3	0	0	0	9	0	0	0	0	0	4	7	8	4	6	2	12	5	0
fits	2	1	7	0	1	0	55	7	4	0	0	0	0	0	5	2	1	3	0	0	0	0	0	0	5	6	0	0
gif	0	0	4	1	0	0	0	54	7	0	6	0	2	0	10	0	1	10	0	0	0	0	0	0	0	0	0	0
gz	0	0	5	0	0	0	0	7	19	0	2	0	10	0	13	1	0	45	0	0	0	0	0	0	0	0	0	1
hlp	0	0	0	0	0	6	1	0	0	60	0	0	0	5	0	0	0	0	0	2	6	1	1	1	1	14	4	0
jpg	0	0	9	4	0	0	0	7	16	0	8	0	8	0	12	1	0	31	0	0	0	0	0	0	0	0	0	4
kml	0	0	0	0	0	0	0	0	0	0	0	85	0	2	0	0	0	0	0	0	0	0	0	0	1	0	15	0
kmz	0	0	10	0	0	0	0	14	15	0	5	0	18	0	11	0	0	24	0	0	0	0	0	0	0	0	0	5
log	5	2	0	0	1	1	0	0	0	0	0	4	0	49	0	0	0	0	1	1	4	6	7	2	3	1	26	0
png	0	0	10	0	0	0	0	26	7	0	3	0	6	0	23	0	0	26	0	0	0	0	0	0	0	0	0	3
pps	0	0	6	1	0	0	2	12	12	0	5	0	2	0	15	1	18	25	0	0	0	0	1	0	1	0	0	2
ppt	0	0	5	0	0	0	0	20	6	1	3	0	4	0	12	3	17	22	0	1	0	0	0	0	0	3	0	0
pptx	0	0	3	0	0	0	0	19	15	0	4	0	6	0	17	1	0	35	0	0	0	0	0	0	0	0	0	1
ps	5	1	1	0	23	1	0	2	0	0	1	0	0	14	2	0	0	1	34	5	0	2	1	1	1	1	2	0
rtf	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	1	3	65	1	14	1	1	0	2	2	0
sql	0	0	0	0	0	10	0	0	0	2	0	1	0	5	0	0	0	0	0	0	51	2	5	4	0	6	11	0
tex	6	0	0	0	0	4	0	0	0	10	0	1	0	8	0	0	0	0	0	2	0	49	2	0	1	4	11	0
tmp	4	0	0	0	2	0	1	0	0	1	0	3	0	23	0	0	3	1	2	1	4	1	20	0	14	5	12	0
troff	8	2	0	0	3	6	0	0	0	1	0	0	0	6	0	0	0	0	1	0	13	7	1	35	3	6	8	0
txt	9	1	0	0	1	6	4	0	0	6	0	2	0	6	0	0	0	0	4	1	3	17	4	3	21	15	1	0
unk	0	0	2	0	1	1	3	1	1	6	0	0	1	6	4	1	3	4	0	1	5	19	1	3	4	20	11	0
xml	0	0	0	0	1	0	2	0	0	1	0	24	0	2	0	0	0	0	0	1	4	7	4	0	0	0	52	0
zip	0	0	7	3	0	0	0	10	12	0	6	0	10	0	19	0	0	37	0	0	0	0	0	0	0	0	0	5
