True	csv	dbase3	doc	dwf	eps	f	fits	gif	gz	hlp	java	jpg	kml	kmz	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	troff	txt	unk	wp	xls	zip
csv	75	1	0	0	0	7	0	0	0	1	0	0	1	0	0	0	0	0	1	0	4	0	0	8	5	1	0	0	0
dbase3	0	88	0	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
doc	1	0	24	1	0	3	0	2	6	2	2	0	0	3	3	1	3	2	0	1	0	1	0	3	0	0	4	39	2
dwf	0	0	0	9	0	0	1	11	0	0	0	6	0	12	15	3	2	8	0	0	0	8	0	0	0	0	1	0	17
eps	0	0	0	0	57	4	1	0	0	0	2	0	0	0	0	0	0	0	24	4	2	0	0	0	3	0	1	0	0
f	3	0	0	0	2	57	3	0	0	5	11	0	0	0	0	0	0	0	0	1	4	0	0	7	2	1	5	0	0
fits	0	0	2	1	0	3	60	1	1	0	1	0	0	1	1	0	0	5	1	0	0	6	1	0	0	3	1	9	0
gif	0	0	0	6	0	0	1	49	4	0	0	1	0	7	9	0	1	4	0	0	0	7	0	0	0	0	0	2	5
gz	0	0	0	5	0	0	0	7	22	0	0	9	0	11	12	1	0	11	0	0	0	8	0	0	0	0	0	0	13
hlp	0	0	0	0	0	10	0	0	0	85	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0
java	0	0	0	0	2	11	0	0	0	3	71	0	1	0	0	0	0	0	1	0	5	0	1	2	0	1	0	0	0
jpg	0	0	0	13	0	0	2	7	13	0	0	11	0	12	11	1	2	6	0	0	0	5	0	0	0	0	0	1	16
kml	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
kmz	0	0	0	4	0	0	1	6	6	0	0	0	0	33	9	1	2	19	0	0	0	5	0	0	0	0	0	2	17
png	0	0	1	10	0	0	0	20	4	0	0	5	0	11	20	1	0	9	0	0	0	9	0	0	0	0	0	1	8
pps	0	0	3	17	0	0	0	3	4	0	0	5	0	5	17	4	2	12	0	0	0	7	0	0	0	0	3	17	7
ppt	0	0	3	12	0	0	1	3	9	0	0	2	0	8	9	0	10	9	0	0	0	6	0	0	0	0	2	21	5
pptx	0	0	1	11	0	0	1	10	6	0	0	4	0	9	15	2	0	18	0	0	1	6	0	0	0	0	2	1	9
ps	0	1	0	1	33	1	0	0	1	0	7	0	0	2	0	0	0	0	49	3	0	0	0	1	2	0	1	0	0
rtf	0	0	0	0	6	3	0	0	0	2	0	0	0	0	0	0	0	1	2	79	0	0	3	0	0	1	5	0	0
sql	2	3	0	0	0	9	0	0	0	5	7	0	3	0	0	0	0	0	0	0	54	0	3	13	0	1	3	0	0
swf	0	0	3	9	0	0	0	5	5	0	0	1	1	10	17	2	1	13	0	0	0	15	0	0	0	0	1	4	9
tex	2	0	1	0	2	8	0	0	0	4	14	0	4	0	0	0	0	0	4	4	1	0	44	7	3	0	4	0	0
troff	8	1	0	0	2	16	1	0	0	1	6	0	0	0	0	0	0	0	4	0	2	0	0	45	4	0	7	1	0
txt	8	1	0	0	4	12	4	0	0	11	4	0	1	0	0	0	0	0	1	1	1	0	2	18	19	3	12	1	0
unk	1	1	1	1	3	25	4	1	2	6	7	0	0	0	0	2	1	2	3	3	2	1	1	8	3	5	12	3	0
wp	0	0	0	0	0	8	0	2	0	2	1	0	0	0	0	2	2	0	0	1	1	2	0	1	2	2	64	10	0
xls	0	0	7	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	2	78	0
zip	0	0	0	10	0	0	0	7	6	0	0	3	0	17	20	1	1	16	0	0	0	4	0	0	0	0	0	0	13
